SMILES_Solvent,Solvent_Name,domain_role,training_rows,fixed_ood_rows
C1CCCCC1,Cyclohexane,fixed_ood,0,1142
CS(C)=O,DMSO,fixed_ood,0,1076
OCCO,Ethylene glycol,fixed_ood,0,1111
CN1CCCC1=O,NMP,fixed_ood,0,1049
CCCOC(C)=O,n-Propyl acetate,fixed_ood,0,1046
C1CCOC1,C1CCOC1,training,1554,0
C1COCCO1,C1COCCO1,training,2200,0
CC#N,CC#N,training,5455,0
CC(=O)CC(C)C,CC(=O)CC(C)C,training,193,0
CC(=O)N(C)C,CC(=O)N(C)C,training,534,0
CC(=O)O,CC(=O)O,training,762,0
CC(=O)OC(C)C,CC(=O)OC(C)C,training,608,0
CC(=O)OCC(C)C,CC(=O)OCC(C)C,training,323,0
CC(C)(C)O,CC(C)(C)O,training,175,0
CC(C)=O,CC(C)=O,training,6112,0
CC(C)CCO,CC(C)CCO,training,569,0
CC(C)CO,CC(C)CO,training,2538,0
CC(C)O,CC(C)O,training,7411,0
CC(O)CO,CC(O)CO,training,542,0
CCC(=O)O,CCC(=O)O,training,164,0
CCC(C)=O,CCC(C)=O,training,1492,0
CCC(C)O,CCC(C)O,training,1268,0
CCCC(=O)O,CCCC(=O)O,training,19,0
CCCCC,CCCCC,training,33,0
CCCCCC,CCCCCC,training,1132,0
CCCCCCC,CCCCCCC,training,485,0
CCCCCCCC,CCCCCCCC,training,102,0
CCCCCCCCCCCC,CCCCCCCCCCCC,training,71,0
CCCCCCCCCCO,CCCCCCCCCCO,training,13,0
CCCCCCCCCO,CCCCCCCCCO,training,48,0
CCCCCCCCO,CCCCCCCCO,training,972,0
CCCCCCCO,CCCCCCCO,training,225,0
CCCCCCO,CCCCCCO,training,390,0
CCCCCO,CCCCCO,training,1476,0
CCCCCOC(C)=O,CCCCCOC(C)=O,training,245,0
CCCCO,CCCCO,training,5806,0
CCCCOC(C)=O,CCCCOC(C)=O,training,1319,0
CCCCOCCO,CCCCOCCO,training,149,0
CCCO,CCCO,training,6772,0
CCCOCCO,CCCOCCO,training,179,0
CCO,CCO,training,10206,0
CCOC(C)=O,CCOC(C)=O,training,7146,0
CCOC=O,CCOC=O,training,537,0
CCOCC,CCOCC,training,141,0
CCOCCO,CCOCCO,training,486,0
CCOCCOCCO,CCOCCOCCO,training,210,0
CCc1ccccc1,CCc1ccccc1,training,209,0
CN(C)C=O,CN(C)C=O,training,2678,0
CO,CO,training,8286,0
COC(=O)OC,COC(=O)OC,training,151,0
COC(C)(C)C,COC(C)(C)C,training,173,0
COC(C)=O,COC(C)=O,training,2205,0
COCCO,COCCO,training,359,0
COc1ccccc1,COc1ccccc1,training,93,0
Cc1ccc(C)cc1,Cc1ccc(C)cc1,training,134,0
Cc1cccc(C)c1,Cc1cccc(C)c1,training,148,0
Cc1ccccc1,Cc1ccccc1,training,2714,0
Cc1ccccc1C,Cc1ccccc1C,training,162,0
ClC(Cl)(Cl)Cl,ClC(Cl)(Cl)Cl,training,309,0
ClC(Cl)Cl,ClC(Cl)Cl,training,1011,0
ClCCCl,ClCCCl,training,485,0
ClCCl,ClCCl,training,693,0
Clc1ccccc1,Clc1ccccc1,training,152,0
NC=O,NC=O,training,101,0
O,O,training,6360,0
O=C1CCCC1,O=C1CCCC1,training,108,0
O=C1CCCCC1,O=C1CCCCC1,training,545,0
O=C1CCCO1,O=C1CCCO1,training,71,0
O=CO,O=CO,training,146,0
c1ccccc1,c1ccccc1,training,483,0
