feature,min,p01,p05,median,p95,p99,max,non_null_count
Class_ester_x_solute_HBD,0.0,0.0,0.0,0.0,1.0,3.0,9.0,97838
Class_ester_x_solute_TPSA_density,0.0,0.0,0.0,0.0,0.7703622333557809,1.4279196020771672,2.542631964280092,97838
Class_nonpolar_x_nonpolar_match,0.0,0.0,0.0,0.0,0.969510442998299,1.0,1.0,97838
Cross_HB_capacity_product,0.0,0.0,0.0,6.0,18.0,28.0,92.0,97838
Cross_HB_directional_balance,-24.0,-8.0,-5.0,0.0,4.0,6.0,20.0,97838
Cross_TPSA_density_abs_gap,0.0,0.004294901199023093,0.03557126544837197,0.38550361810342265,3.3000613663095075,4.1462984784315235,4.599056321697347,97838
Cross_acc_to_don_surface,0.0,0.0,0.0,0.0,1.545592965756311e-10,5.600236100266932e-10,1.651329546174921e-08,97838
Cross_hb_don_moment_product,0.0,0.0,0.0,0.0,1.8530940199677912e-10,7.711511137072277e-10,6.542757819972985e-09,97838
Cross_logP_abs_gap,0.0008000000000000229,0.03080000000000005,0.14529999999999987,1.5436,4.989600000000004,7.587200000000008,14.23279999999998,97838
Cross_nonpolar_match,0.32246825595123524,0.6096311287489893,0.6575003466473814,0.9237592003338096,0.9930949587638228,1.0,1.0,97838
Cross_pos_area_abs_gap,8.625841833476144e-06,0.0018107503798652225,0.009564748850042215,0.1009687396082467,0.3267134234390533,0.4150734600888526,0.542245270236595,97838
Cross_sigma2_abs_gap,1.2117665576286786e-09,1.1130065983076997e-07,6.364311939253347e-07,7.410529824886265e-06,5.8289355941825964e-05,7.751502467706678e-05,0.0012259666249829942,97838
Cross_sigma3_abs_gap,6.342487585265744e-12,9.123498113477773e-10,6.532090964474169e-09,7.988070301597793e-08,4.450357252971928e-07,7.134950694186224e-07,2.8815602796017204e-05,97838
Cross_surface_imbalance_product,-0.27710864257585566,-0.16489092871591104,-0.10248486801139071,0.03409774335343571,0.17949439977360918,0.23551161008069085,0.4148876522903081,97838
Solute_BalabanJ,0.0,1.491919166878176e-07,1.2328492308842516,2.5825627402223494,3.632432151939845,4.3020649465048315,4.83789821036659,97838
Solute_BertzCT,7.509775004326938,51.84847143196431,107.49886506004842,402.5020875823405,1108.7174439193616,1540.0231874767644,2521.8121648901065,97838
Solute_HB_capacity,0.0,0.0,2.0,4.0,10.0,15.0,29.0,97838
Solute_HeavyAtomCount,4.0,5.0,8.0,15.0,32.0,41.0,72.0,97838
Solute_LabuteASA,23.580554521898744,33.01570484670571,46.501217506910955,87.80919529219739,189.27659178916312,236.07069182051055,400.5757064000619,97838
Solute_M_hb_acc,0.0,0.0,0.0,2.3386467518756303e-06,1.393863404861498e-05,3.1783938217312553e-05,0.0007452504560599,97838
Solute_M_hb_don,0.0,0.0,0.0,2.08722500370229e-06,1.6534339390149388e-05,3.7291993328651645e-05,0.0004805627857203,97838
Solute_M_nonpolar,0.3569450963069457,0.8019632385273149,0.8825624084366276,0.9632219979530324,1.0,1.0,1.0,97838
Solute_MaxAbsPartialCharge,0.0,0.0653823832227926,0.2688873632854654,0.4530640910865519,0.5079666065471226,1.0,1.0,97838
Solute_MaxPartialCharge,-0.079746475234956,-0.0013455207947278,0.0695362449781887,0.2831109326469539,0.422066686974049,1.0,1.0,97838
Solute_MinAbsPartialCharge,0.0,0.0001844373636941,0.0008466335399748,0.0155584437639268,0.0622481487578839,0.1125407657972047,0.2493861837963371,97838
Solute_MinPartialCharge,-1.0,-0.6957977631261403,-0.5079655549324401,-0.4320284473802694,-0.2582587884238494,-0.0653823832227926,0.0,97838
Solute_MolLogP,-7.317299999999995,-3.2198,-1.28693,1.6136,5.307700000000002,8.074400000000008,13.93719999999998,97838
Solute_MolWt,56.10799999999999,84.082,113.076,213.236,456.7110000000003,590.5530000000002,996.8399999999996,97838
Solute_NumAromaticRings,0.0,0.0,0.0,1.0,3.0,5.0,10.0,97838
Solute_NumHAcceptors,0.0,0.0,1.0,3.0,8.0,12.0,19.0,97838
Solute_NumHDonors,0.0,0.0,0.0,1.0,4.0,6.0,10.0,97838
Solute_NumRotatableBonds,0.0,0.0,0.0,2.0,8.0,12.0,26.0,97838
Solute_RingCount,0.0,0.0,0.0,2.0,5.0,6.0,18.0,97838
Solute_TPSA,0.0,0.0,17.07,63.57,135.37,217.08999999999995,388.25999999999993,97838
Solute_neg_area_frac,0.1650289876689754,0.2198544603786717,0.2465748615851595,0.3757910873778053,0.5763413941817863,0.6439888023563586,0.7008790438261674,97838
Solute_polar_surface_density,0.0,0.0,0.17804121249618268,0.7170813238644594,1.6482781538438567,2.0621161738991742,3.128632312275132,97838
Solute_pos_area_frac,0.2983690361871826,0.3528342399036731,0.4236586058182136,0.6232687918837571,0.7529741006144409,0.7791366474776991,0.8349710123310243,97838
Solute_sig2,3.658644080807754e-07,6.310028257167369e-07,3.408891840863384e-06,1.4444179699647396e-05,3.6731763475146735e-05,7.336026238828489e-05,0.0012355217709146,97838
Solute_sig3,-2.8694970312429617e-05,-3.4554195005153586e-07,-1.1420171125011085e-07,-3.011660620369396e-09,1.67176125931273e-07,3.134171030742344e-07,1.1696464971899738e-06,97838
Solute_signed_surface_imbalance,-0.4024343269618147,-0.2923675095921457,-0.15268278836357274,0.24747770450595175,0.5063992390292814,0.5592821870990273,0.6699420246620489,97838
Solvent_BalabanJ,0.0,0.0,0.0,2.3237900077244498,3.0214653097240864,3.126006652390634,3.2575861612334887,97838
Solvent_LabuteASA,6.84923118831809,6.84923118831809,6.84923118831809,26.26336900881878,46.92890371420919,58.08807958080182,78.75361428619225,97838
Solvent_MaxPartialCharge,-0.4115095219374226,-0.4115095219374226,-0.4115095219374226,0.0453488037875541,0.3021127777269907,0.3023791003505634,0.5071977938803105,97838
Solvent_MolLogP,-0.8985000000000001,-0.8247,-0.8247,0.3887,1.99502,2.5866000000000007,4.9272000000000045,97838
Solvent_hydrophobic_density,-0.04577851789920741,-0.04577851789920741,-0.04577851789920741,0.006462669965649755,0.02165181623792175,0.030014620900577712,0.030443098501331336,97838
Solvent_neg_area_frac,0.1876040938108876,0.240646832330615,0.2684130212425971,0.3682053120232824,0.6653842840373303,0.7489541291578016,0.7489541291578016,97838
Solvent_pos_area_frac,0.2510458708421983,0.2510458708421983,0.3346157159626697,0.630667932561444,0.7315869787574029,0.7593531676693851,0.8123959061891123,97838
Solvent_self_hbond_proxy,0.0,0.0,0.0,0.007678663298234071,0.0312090381364706,0.0312090381364706,0.0525658716071678,97838
Solvent_sig2,2.3865646648312714e-07,5.178735331772626e-07,6.203043434771099e-07,1.379016118359938e-05,7.893189115935288e-05,7.893189115935288e-05,7.893189115935288e-05,97838
Solvent_sig3,-1.5506918909242537e-07,-1.3887826542427916e-07,-9.326227262967996e-08,3.627255784592975e-08,4.683632093997327e-07,4.683632093997327e-07,4.683632093997327e-07,97838
Solvent_sigma_asymmetry_abs,2.647128237219666e-10,4.6241316694743095e-10,7.389404881743132e-10,6.208052782148056e-08,4.683632093997327e-07,4.683632093997327e-07,4.683632093997327e-07,97838
Temperature_K,243.15,273.15,278.15,303.15,328.15,342.75,400.54,97838
