seed,model,feature_count,train_n,val_n,test_n,R2,MAE,RMSE
42,CAT-Solv-47,47,70443,7827,19568,0.9697442650794983,0.1437394618988037,0.20931555452108552
43,CAT-Solv-47,47,70443,7827,19568,0.9715209007263184,0.14012454450130463,0.2026736306271865
44,CAT-Solv-47,47,70443,7827,19568,0.9687504172325134,0.14499559998512268,0.21172401590590414
45,CAT-Solv-47,47,70443,7827,19568,0.9678860306739807,0.14706449210643768,0.21620351335827387
46,CAT-Solv-47,47,70443,7827,19568,0.9686775207519531,0.14401325583457947,0.21296911804939872
47,CAT-Solv-47,47,70443,7827,19568,0.9686386585235596,0.146571084856987,0.21354430573080996
48,CAT-Solv-47,47,70443,7827,19568,0.9695054292678833,0.14653079211711884,0.20894650980801943
49,CAT-Solv-47,47,70443,7827,19568,0.9704338908195496,0.14617013931274414,0.20762449414951223
50,CAT-Solv-47,47,70443,7827,19568,0.9689943790435791,0.14624632894992828,0.21276551691492235
51,CAT-Solv-47,47,70443,7827,19568,0.9689675569534302,0.1447184830904007,0.2112494122903312
52,CAT-Solv-47,47,70443,7827,19568,0.9697701334953308,0.14425164461135864,0.20905629818816632
53,CAT-Solv-47,47,70443,7827,19568,0.9698688387870789,0.14550985395908356,0.21032249016011856
54,CAT-Solv-47,47,70443,7827,19568,0.9690648317337036,0.14698871970176697,0.21327992812644825
55,CAT-Solv-47,47,70443,7827,19568,0.9699277281761169,0.14558330178260803,0.208056538207381
56,CAT-Solv-47,47,70443,7827,19568,0.9704696536064148,0.1464282125234604,0.20691471598822475
57,CAT-Solv-47,47,70443,7827,19568,0.9696704745292664,0.14402838051319122,0.2086757180971527
58,CAT-Solv-47,47,70443,7827,19568,0.9693844318389893,0.14628024399280548,0.21134028126556204
59,CAT-Solv-47,47,70443,7827,19568,0.967753529548645,0.14558270573616028,0.21667563854648086
60,CAT-Solv-47,47,70443,7827,19568,0.9682893753051758,0.14690247178077698,0.21362979551282038
61,CAT-Solv-47,47,70443,7827,19568,0.9693766236305237,0.14534510672092438,0.2123875930750456
