seed,model,feature_count,train_n,val_n,test_n,R2,MAE,RMSE
42,2D-Elec,33,70443,7827,19568,0.9618983514441684,0.16154740951178795,0.2348927718957264
42,2D-Min,25,70443,7827,19568,0.9545686405027178,0.1799144912924818,0.25649307013524764
42,Sigma-Solv,47,70443,7827,19568,0.9664159556167022,0.1498672605557814,0.22052826824703353
42,Sigma-noElec,39,70443,7827,19568,0.9640326538765415,0.15651490003789592,0.22821908857460224
43,2D-Elec,33,70443,7827,19568,0.9637351370257718,0.1591925332583313,0.22870581031975099
43,2D-Min,25,70443,7827,19568,0.9545725837727654,0.1795253514844162,0.25597243262168184
43,Sigma-Solv,47,70443,7827,19568,0.9673414921066137,0.14911061261413042,0.21703628501436892
43,Sigma-noElec,39,70443,7827,19568,0.9650559106709767,0.15521867407883924,0.22450242740594006
44,2D-Elec,33,70443,7827,19568,0.9620389893941481,0.1612493795771053,0.23335483415068423
44,2D-Min,25,70443,7827,19568,0.9535308940522171,0.18025714716916563,0.25818444745870855
44,Sigma-Solv,47,70443,7827,19568,0.966171629228578,0.14995484251552355,0.22028679290534922
44,Sigma-noElec,39,70443,7827,19568,0.963512673899741,0.15675762361708034,0.22878046495500448
45,2D-Elec,33,70443,7827,19568,0.9616228650340152,0.16183304423053943,0.23634795285983998
45,2D-Min,25,70443,7827,19568,0.9530229748856992,0.1829130841071263,0.26149195123572366
45,Sigma-Solv,47,70443,7827,19568,0.9656868013251358,0.15150906823001595,0.22348386453737823
45,Sigma-noElec,39,70443,7827,19568,0.962918736146172,0.15896266682928317,0.23232333546024872
46,2D-Elec,33,70443,7827,19568,0.9623442449556129,0.15919790653822052,0.2335094066864379
46,2D-Min,25,70443,7827,19568,0.9535132912467635,0.18047470371701832,0.259449656441708
46,Sigma-Solv,47,70443,7827,19568,0.9654200370970831,0.15149430808971331,0.22376953623603138
46,Sigma-noElec,39,70443,7827,19568,0.9625096265237563,0.15884659763196676,0.2329960635431902
47,2D-Elec,33,70443,7827,19568,0.9607482371952714,0.16367527318994876,0.23890217665366476
47,2D-Min,25,70443,7827,19568,0.9529338399063865,0.18316268390899504,0.26160431770715226
47,Sigma-Solv,47,70443,7827,19568,0.9653325446275977,0.15284389089381165,0.22451817652681233
47,Sigma-noElec,39,70443,7827,19568,0.9619392371618141,0.16139817696528913,0.23524980276836552
48,2D-Elec,33,70443,7827,19568,0.9621009095160603,0.16274106406072708,0.2329368146727449
48,2D-Min,25,70443,7827,19568,0.9531782804278947,0.18285812635534493,0.2589091615212414
48,Sigma-Solv,47,70443,7827,19568,0.966188088697122,0.15202360874120688,0.2200181957813649
48,Sigma-noElec,39,70443,7827,19568,0.9624624111847039,0.1604927564439815,0.23182321521114665
49,2D-Elec,33,70443,7827,19568,0.9639452105266866,0.160570935843225,0.22927832908084456
49,2D-Min,25,70443,7827,19568,0.9545693057125482,0.18276384754572647,0.257368986886067
49,Sigma-Solv,47,70443,7827,19568,0.9670222714187467,0.15208261106343962,0.21927640160055925
49,Sigma-noElec,39,70443,7827,19568,0.9645282831265564,0.15822805015974836,0.2274168452739593
50,2D-Elec,33,70443,7827,19568,0.962084834189952,0.16315691745352134,0.23528136717615925
50,2D-Min,25,70443,7827,19568,0.9534489120677596,0.18416461080111812,0.2607029664749241
50,Sigma-Solv,47,70443,7827,19568,0.9669090864372833,0.15043279424141467,0.21980392026037573
50,Sigma-noElec,39,70443,7827,19568,0.9646656842959156,0.15691029284269334,0.22713256104613955
51,2D-Elec,33,70443,7827,19568,0.9626431314227852,0.16022948237275317,0.23177823225164826
51,2D-Min,25,70443,7827,19568,0.9530227032641763,0.1826233320214544,0.25991504855392605
51,Sigma-Solv,47,70443,7827,19568,0.9666760772637187,0.14969868205850057,0.21890993568603065
51,Sigma-noElec,39,70443,7827,19568,0.9634828185019363,0.15678963084141473,0.2291585359568523
52,2D-Elec,33,70443,7827,19568,0.9625204177772089,0.16065860596820586,0.23277829239077535
52,2D-Min,25,70443,7827,19568,0.9542073852203239,0.18119677192474812,0.2573018025322776
52,Sigma-Solv,47,70443,7827,19568,0.9673017531650175,0.14942815511344357,0.21742392992360393
52,Sigma-noElec,39,70443,7827,19568,0.9640037108955367,0.157037760000488,0.22812557315694706
53,2D-Elec,33,70443,7827,19568,0.962822767224323,0.1634533095990933,0.23362339701562626
53,2D-Min,25,70443,7827,19568,0.9544400356945111,0.1833509531864355,0.25862439740697174
53,Sigma-Solv,47,70443,7827,19568,0.9665900439728354,0.15169028641531768,0.22147043374723033
53,Sigma-noElec,39,70443,7827,19568,0.9639032601837132,0.15896895443192538,0.2302034318380629
54,2D-Elec,33,70443,7827,19568,0.9617690706290155,0.1652778587421738,0.23709969521072802
54,2D-Min,25,70443,7827,19568,0.9533778894039131,0.18390420592281104,0.26183007675161907
54,Sigma-Solv,47,70443,7827,19568,0.9670605404532471,0.15084309091452452,0.22008062083992805
54,Sigma-noElec,39,70443,7827,19568,0.9630526132476135,0.1605884902732687,0.23308559331311732
55,2D-Elec,33,70443,7827,19568,0.9633710330678673,0.16100442874942508,0.2296204971416887
55,2D-Min,25,70443,7827,19568,0.9549438091998632,0.1794536290696278,0.25466868975980145
55,Sigma-Solv,47,70443,7827,19568,0.9669838032527631,0.1508311030893643,0.2180026835793473
55,Sigma-noElec,39,70443,7827,19568,0.9646737020497081,0.15723885408709254,0.2255004337449427
56,2D-Elec,33,70443,7827,19568,0.9636027847370994,0.16163501671449715,0.2297159958832053
56,2D-Min,25,70443,7827,19568,0.9549560509989143,0.18202423111683833,0.2555497074076704
56,Sigma-Solv,47,70443,7827,19568,0.9673767518542369,0.1524266033917163,0.217480718322034
56,Sigma-noElec,39,70443,7827,19568,0.9645879116046633,0.15933269951390858,0.22658592491162458
57,2D-Elec,33,70443,7827,19568,0.9615473993742961,0.1635316330426502,0.2349643244528243
57,2D-Min,25,70443,7827,19568,0.9532364864560867,0.1822473795981002,0.2591150479194088
57,Sigma-Solv,47,70443,7827,19568,0.9672468288935313,0.15010843716379418,0.21685315495702634
57,Sigma-noElec,39,70443,7827,19568,0.9642723186077,0.15698988724428609,0.22648606399227053
58,2D-Elec,33,70443,7827,19568,0.9621577269326782,0.16272950446134984,0.23496323349765194
58,2D-Min,25,70443,7827,19568,0.9542455136701914,0.1819454340195164,0.2583617065994102
58,Sigma-Solv,47,70443,7827,19568,0.966860827941466,0.15215116480384028,0.21987817798197645
58,Sigma-noElec,39,70443,7827,19568,0.9645416409652854,0.15831123138241132,0.2274419756558144
59,2D-Elec,33,70443,7827,19568,0.9610767884588746,0.16174206908969407,0.23805280242172236
59,2D-Min,25,70443,7827,19568,0.9524489577957268,0.18293462989161752,0.26311704631468036
59,Sigma-Solv,47,70443,7827,19568,0.9653576679821146,0.15102065319959881,0.224580748553784
59,Sigma-noElec,39,70443,7827,19568,0.9627200886315441,0.15679409617329582,0.23297343378278532
60,2D-Elec,33,70443,7827,19568,0.9619227897796677,0.16172718523019355,0.23409482466363038
60,2D-Min,25,70443,7827,19568,0.952933061330963,0.18153202552060219,0.2602658741737288
60,Sigma-Solv,47,70443,7827,19568,0.9651949634046726,0.15286928662680344,0.2238104183384373
60,Sigma-noElec,39,70443,7827,19568,0.9636626969162656,0.15752703826661163,0.22868390377514322
61,2D-Elec,33,70443,7827,19568,0.9613195046333638,0.16373890877754377,0.23869784247382755
61,2D-Min,25,70443,7827,19568,0.9531380967260537,0.18305267709497114,0.26273167920300605
61,Sigma-Solv,47,70443,7827,19568,0.9667770599462577,0.15056870196289096,0.22121853462730978
61,Sigma-noElec,39,70443,7827,19568,0.9631394264643459,0.159214612400114,0.23301480958240162
