learner,feature_layer,feature_count,R2_mean,R2_std,R2_median,MAE_mean,MAE_std,RMSE_mean,RMSE_std,fit_seconds_mean,fit_seconds_total,predict_seconds_mean
XGBoost,2D-Min,25,0.5412449955940246,0.01897351673961549,0.5370901226997375,0.6257060259580612,0.013538991527402889,0.8447233670688901,0.017772597585937928,1.6623390333057615,33.24678066611523,0.006476727005792782
XGBoost,2D-Elec,33,0.6827641874551773,0.012650728997384734,0.681410014629364,0.5094300612807274,0.011758541022494216,0.7024633453334511,0.014078441833470722,2.025543697952526,40.510873959050514,0.006683877104660496
XGBoost,Sigma-Solv,47,0.7559166759252548,0.007158795456786782,0.7556347846984863,0.44279354363679885,0.007004510797705987,0.6162256035934571,0.009074872517742978,2.614540702206432,52.29081404412864,0.00700974594510626
XGBoost,CAT-Solv-47,47,0.788383400440216,0.008127039494905099,0.7859198451042175,0.4130075842142105,0.008118053652304894,0.5737371764397371,0.011105448783289843,2.9486249665991635,58.97249933198327,0.007190189501852728
RandomForest,2D-Min,25,0.49173855207037676,0.006334679078841611,0.4922079883811483,0.6338625257730766,0.004008633839754833,0.889305507020255,0.005536658667984627,9.513033829195773,190.26067658391548,0.04739025830058381
RandomForest,2D-Elec,33,0.5885258274047164,0.004359782379698003,0.589827644541019,0.5583246281064597,0.003553789267756307,0.8001675020318461,0.004233403832807092,13.38333452080551,267.6666904161102,0.04700311460183002
RandomForest,Sigma-Solv,47,0.7149650338386152,0.004219704247936359,0.7149237153240325,0.4630481774222056,0.0031850948120404846,0.6659677186213344,0.004925614566625719,19.648405793705024,392.9681158741005,0.0468295583006693
RandomForest,CAT-Solv-47,47,0.675438211482611,0.006003039866609202,0.6762711475821911,0.5009935226188041,0.006777321095975775,0.7106348147957845,0.006565284111687346,23.37802119169792,467.56042383395834,0.04500803948903922
ExtraTrees,2D-Min,25,0.5460794594315496,0.005114647099342348,0.5450119837886034,0.5914004513847467,0.0031055685104304743,0.8404245569287474,0.00474537758538382,5.802143785491353,116.04287570982706,0.07167776034621057
ExtraTrees,2D-Elec,33,0.6102519200378345,0.003543805030221818,0.6105070755163358,0.5466193189781714,0.002952697551069285,0.7787590542887428,0.003545558281301887,7.680249818754964,153.6049963750993,0.07456658959854394
ExtraTrees,Sigma-Solv,47,0.7270047309580725,0.005900475925463461,0.7265342774092178,0.44578183546567374,0.00403559843884837,0.6517314029517649,0.00707451480654158,11.041606337553821,220.83212675107643,0.0718689666071441
ExtraTrees,CAT-Solv-47,47,0.7533655020024128,0.004026301254209459,0.7527377751643893,0.4294490314172973,0.003758126919618924,0.619481851525486,0.005051540101611489,10.99514434155717,219.9028868311434,0.08266361460555345
HistGradientBoosting,2D-Min,25,0.5046277891281027,0.02413504582593292,0.5034142160621848,0.6541686030634026,0.016063926311152367,0.8777237845944896,0.021465591957357286,8.304000585406902,166.08001170813804,0.036735704060993156
HistGradientBoosting,2D-Elec,33,0.6043560627315039,0.0188387462338206,0.6044658540799703,0.5653747124150514,0.013524141240169932,0.7844273898170137,0.018515394258478535,9.015653079145704,180.3130615829141,0.03874294379493222
HistGradientBoosting,Sigma-Solv,47,0.7738998987885342,0.008657538220408982,0.7728124653037676,0.42309093776048945,0.0069312521544061334,0.5930486578100305,0.011342299076998729,9.53474071874516,190.69481437490322,0.040360781396157105
HistGradientBoosting,CAT-Solv-47,47,0.7946766085764914,0.006263581137535665,0.7939020182728289,0.4002128369397724,0.005764484478450393,0.5651796323531209,0.008631094416873797,9.82466137285519,196.49322745710379,0.04245059159875382
