learner,candidate,reference,metric,mean_delta,std_delta,median_delta,wins,n_seeds
XGBoost,2D-Elec,2D-Min,R2,0.14151919186115264,0.023136533592418757,0.14324763417243958,20,20
XGBoost,2D-Elec,2D-Min,MAE,-0.11627596467733384,0.018577692211310493,-0.11839756369590759,20,20
XGBoost,2D-Elec,2D-Min,RMSE,-0.142260021735439,0.023023835766591817,-0.14334663937515146,20,20
XGBoost,Sigma-Solv,2D-Elec,R2,0.07315248847007752,0.01475330223889073,0.07035192847251892,20,20
XGBoost,Sigma-Solv,2D-Elec,MAE,-0.06663651764392853,0.014088113527522789,-0.06460012495517731,20,20
XGBoost,Sigma-Solv,2D-Elec,RMSE,-0.08623774173999406,0.01702971584565204,-0.08402208241277759,20,20
XGBoost,Sigma-Solv,2D-Min,R2,0.21467168033123016,0.018392948175656818,0.21504133939743042,20,20
XGBoost,Sigma-Solv,2D-Min,MAE,-0.18291248232126237,0.013897464743375018,-0.18296442925930023,20,20
XGBoost,Sigma-Solv,2D-Min,RMSE,-0.22849776347543305,0.017705130236837882,-0.2298805380033913,20,20
XGBoost,CAT-Solv-47,Sigma-Solv,R2,0.03246672451496124,0.009078769692730481,0.032436639070510864,20,20
XGBoost,CAT-Solv-47,Sigma-Solv,MAE,-0.029785959422588347,0.009016083500902886,-0.030507788062095642,20,20
XGBoost,CAT-Solv-47,Sigma-Solv,RMSE,-0.04248842715372,0.012014680768360105,-0.04195574878360159,20,20
XGBoost,CAT-Solv-47,2D-Elec,R2,0.10561921298503876,0.017913494629283176,0.10528963804244995,20,20
XGBoost,CAT-Solv-47,2D-Elec,MAE,-0.09642247706651688,0.017108244884141054,-0.09543877840042114,20,20
XGBoost,CAT-Solv-47,2D-Elec,RMSE,-0.12872616889371408,0.02156252241494215,-0.12779833725469442,20,20
XGBoost,CAT-Solv-47,2D-Min,R2,0.2471384048461914,0.021931237426653198,0.24807903170585632,20,20
XGBoost,CAT-Solv-47,2D-Min,MAE,-0.21269844174385072,0.017097040794903675,-0.21291156113147736,20,20
XGBoost,CAT-Solv-47,2D-Min,RMSE,-0.270986190629153,0.022529744838085734,-0.2717307400696669,20,20
RandomForest,2D-Elec,2D-Min,R2,0.09678727533433969,0.008777258205707544,0.09579201305630786,20,20
RandomForest,2D-Elec,2D-Min,MAE,-0.07553789766661692,0.006383482717253514,-0.07507849083450363,20,20
RandomForest,2D-Elec,2D-Min,RMSE,-0.08913800498840882,0.007989131195278672,-0.08826521542598442,20,20
RandomForest,Sigma-Solv,2D-Elec,R2,0.12643920643389878,0.005602405461644358,0.12674174323726123,20,20
RandomForest,Sigma-Solv,2D-Elec,MAE,-0.09527645068425403,0.003755032106962519,-0.09412974033095975,20,20
RandomForest,Sigma-Solv,2D-Elec,RMSE,-0.13419978341051167,0.005993248845079849,-0.1344062112373649,20,20
RandomForest,Sigma-Solv,2D-Min,R2,0.22322648176823848,0.009635709958147578,0.22344004605941126,20,20
RandomForest,Sigma-Solv,2D-Min,MAE,-0.1708143483508709,0.006551317761318744,-0.1699604667138073,20,20
RandomForest,Sigma-Solv,2D-Min,RMSE,-0.22333778839892054,0.009516280989117502,-0.22439723008062873,20,20
RandomForest,CAT-Solv-47,Sigma-Solv,R2,-0.039526822356004285,0.006367074485045297,-0.03932782996620221,0,20
RandomForest,CAT-Solv-47,Sigma-Solv,MAE,0.03794534519659855,0.007332090711864288,0.03674119655582242,0,20
RandomForest,CAT-Solv-47,Sigma-Solv,RMSE,0.044667096174450034,0.007112261049755509,0.044396027536308336,0,20
