seed,feature_layer,rank,feature
42,2D-Min,1,Solute_MolWt
42,2D-Min,2,Solute_HeavyAtomCount
42,2D-Min,3,Solute_NumRotatableBonds
42,2D-Min,4,Solute_RingCount
42,2D-Min,5,Solute_NumAromaticRings
42,2D-Min,6,Solute_BertzCT
42,2D-Min,7,Solute_BalabanJ
42,2D-Min,8,Solute_MolLogP
42,2D-Min,9,Solute_TPSA
42,2D-Min,10,Solute_NumHDonors
42,2D-Min,11,Solute_NumHAcceptors
42,2D-Min,12,Solute_LabuteASA
42,2D-Min,13,Solvent_MolWt
42,2D-Min,14,Solvent_HeavyAtomCount
42,2D-Min,15,Solvent_NumRotatableBonds
42,2D-Min,16,Solvent_RingCount
42,2D-Min,17,Solvent_NumAromaticRings
42,2D-Min,18,Solvent_BertzCT
42,2D-Min,19,Solvent_BalabanJ
42,2D-Min,20,Solvent_MolLogP
42,2D-Min,21,Solvent_TPSA
42,2D-Min,22,Solvent_NumHDonors
42,2D-Min,23,Solvent_NumHAcceptors
42,2D-Min,24,Solvent_LabuteASA
42,2D-Min,25,Temperature_K
42,2D-Elec,1,Solute_MolWt
42,2D-Elec,2,Solute_HeavyAtomCount
42,2D-Elec,3,Solute_NumRotatableBonds
42,2D-Elec,4,Solute_RingCount
42,2D-Elec,5,Solute_NumAromaticRings
42,2D-Elec,6,Solute_BertzCT
42,2D-Elec,7,Solute_BalabanJ
42,2D-Elec,8,Solute_MolLogP
42,2D-Elec,9,Solute_TPSA
42,2D-Elec,10,Solute_NumHDonors
42,2D-Elec,11,Solute_NumHAcceptors
42,2D-Elec,12,Solute_LabuteASA
42,2D-Elec,13,Solute_MaxPartialCharge
42,2D-Elec,14,Solute_MinPartialCharge
42,2D-Elec,15,Solute_MaxAbsPartialCharge
42,2D-Elec,16,Solute_MinAbsPartialCharge
42,2D-Elec,17,Solvent_MolWt
42,2D-Elec,18,Solvent_HeavyAtomCount
42,2D-Elec,19,Solvent_NumRotatableBonds
42,2D-Elec,20,Solvent_RingCount
42,2D-Elec,21,Solvent_NumAromaticRings
42,2D-Elec,22,Solvent_BertzCT
42,2D-Elec,23,Solvent_BalabanJ
42,2D-Elec,24,Solvent_MolLogP
42,2D-Elec,25,Solvent_TPSA
42,2D-Elec,26,Solvent_NumHDonors
42,2D-Elec,27,Solvent_NumHAcceptors
42,2D-Elec,28,Solvent_LabuteASA
42,2D-Elec,29,Solvent_MaxPartialCharge
42,2D-Elec,30,Solvent_MinPartialCharge
42,2D-Elec,31,Solvent_MaxAbsPartialCharge
42,2D-Elec,32,Solvent_MinAbsPartialCharge
42,2D-Elec,33,Temperature_K
42,Sigma-Solv,1,Solute_MolWt
42,Sigma-Solv,2,Solute_HeavyAtomCount
42,Sigma-Solv,3,Solute_NumRotatableBonds
42,Sigma-Solv,4,Solute_RingCount
42,Sigma-Solv,5,Solute_NumAromaticRings
42,Sigma-Solv,6,Solute_BertzCT
42,Sigma-Solv,7,Solute_BalabanJ
42,Sigma-Solv,8,Solute_MolLogP
42,Sigma-Solv,9,Solute_TPSA
42,Sigma-Solv,10,Solute_NumHDonors
42,Sigma-Solv,11,Solute_NumHAcceptors
42,Sigma-Solv,12,Solute_LabuteASA
42,Sigma-Solv,13,Solute_MaxPartialCharge
42,Sigma-Solv,14,Solute_MinPartialCharge
42,Sigma-Solv,15,Solute_MaxAbsPartialCharge
42,Sigma-Solv,16,Solute_MinAbsPartialCharge
42,Sigma-Solv,17,Solvent_MolWt
42,Sigma-Solv,18,Solvent_HeavyAtomCount
42,Sigma-Solv,19,Solvent_NumRotatableBonds
42,Sigma-Solv,20,Solvent_RingCount
42,Sigma-Solv,21,Solvent_NumAromaticRings
42,Sigma-Solv,22,Solvent_BertzCT
42,Sigma-Solv,23,Solvent_BalabanJ
42,Sigma-Solv,24,Solvent_MolLogP
42,Sigma-Solv,25,Solvent_TPSA
42,Sigma-Solv,26,Solvent_NumHDonors
42,Sigma-Solv,27,Solvent_NumHAcceptors
42,Sigma-Solv,28,Solvent_LabuteASA
42,Sigma-Solv,29,Solvent_MaxPartialCharge
42,Sigma-Solv,30,Solvent_MinPartialCharge
42,Sigma-Solv,31,Solvent_MaxAbsPartialCharge
42,Sigma-Solv,32,Solvent_MinAbsPartialCharge
42,Sigma-Solv,33,Temperature_K
42,Sigma-Solv,34,Solute_sig2
42,Sigma-Solv,35,Solute_sig3
42,Sigma-Solv,36,Solute_M_hb_acc
42,Sigma-Solv,37,Solute_M_hb_don
42,Sigma-Solv,38,Solute_M_nonpolar
42,Sigma-Solv,39,Solute_pos_area_frac
42,Sigma-Solv,40,Solute_neg_area_frac
42,Sigma-Solv,41,Solvent_sig2
42,Sigma-Solv,42,Solvent_sig3
42,Sigma-Solv,43,Solvent_M_hb_acc
42,Sigma-Solv,44,Solvent_M_hb_don
42,Sigma-Solv,45,Solvent_M_nonpolar
42,Sigma-Solv,46,Solvent_pos_area_frac
42,Sigma-Solv,47,Solvent_neg_area_frac
42,CAT-Solv-47,1,Solute_BertzCT
42,CAT-Solv-47,2,Temperature_K
42,CAT-Solv-47,3,Solute_TPSA
42,CAT-Solv-47,4,Solute_HB_capacity
42,CAT-Solv-47,5,Solute_MolLogP
42,CAT-Solv-47,6,Solute_MolWt
42,CAT-Solv-47,7,Solute_BalabanJ
42,CAT-Solv-47,8,Solvent_pos_area_frac
42,CAT-Solv-47,9,Solvent_MaxPartialCharge
42,CAT-Solv-47,10,Solute_polar_surface_density
42,CAT-Solv-47,11,Solute_MaxPartialCharge
42,CAT-Solv-47,12,Solute_NumAromaticRings
42,CAT-Solv-47,13,Cross_sigma2_abs_gap
42,CAT-Solv-47,14,Solute_M_hb_don
42,CAT-Solv-47,15,Solute_NumRotatableBonds
42,CAT-Solv-47,16,Solute_RingCount
42,CAT-Solv-47,17,Solute_sig3
42,CAT-Solv-47,18,Solute_MinAbsPartialCharge
42,CAT-Solv-47,19,Solute_M_nonpolar
42,CAT-Solv-47,20,Solute_sig2
42,CAT-Solv-47,21,Solute_LabuteASA
42,CAT-Solv-47,22,Solute_MaxAbsPartialCharge
42,CAT-Solv-47,23,Cross_TPSA_density_abs_gap
42,CAT-Solv-47,24,Cross_logP_abs_gap
42,CAT-Solv-47,25,Solvent_BalabanJ
42,CAT-Solv-47,26,Solvent_neg_area_frac
42,CAT-Solv-47,27,Cross_HB_directional_balance
42,CAT-Solv-47,28,Solvent_MolLogP
42,CAT-Solv-47,29,Solute_M_hb_acc
42,CAT-Solv-47,30,Solute_MinPartialCharge
42,CAT-Solv-47,31,Cross_hb_don_moment_product
42,CAT-Solv-47,32,Solute_HeavyAtomCount
42,CAT-Solv-47,33,Solvent_sigma_asymmetry_abs
42,CAT-Solv-47,34,Solute_pos_area_frac
42,CAT-Solv-47,35,Cross_nonpolar_match
42,CAT-Solv-47,36,Solvent_hydrophobic_density
42,CAT-Solv-47,37,Cross_surface_imbalance_product
42,CAT-Solv-47,38,Solvent_sig3
42,CAT-Solv-47,39,Solute_NumHDonors
42,CAT-Solv-47,40,Class_ester_x_solute_HBD
42,CAT-Solv-47,41,Solute_neg_area_frac
42,CAT-Solv-47,42,Cross_acc_to_don_surface
42,CAT-Solv-47,43,Class_ester_x_solute_TPSA_density
42,CAT-Solv-47,44,Solvent_sig2
42,CAT-Solv-47,45,Cross_sigma3_abs_gap
42,CAT-Solv-47,46,Solvent_self_hbond_proxy
42,CAT-Solv-47,47,Solvent_LabuteASA
43,2D-Min,1,Solute_MolWt
43,2D-Min,2,Solute_HeavyAtomCount
43,2D-Min,3,Solute_NumRotatableBonds
43,2D-Min,4,Solute_RingCount
43,2D-Min,5,Solute_NumAromaticRings
43,2D-Min,6,Solute_BertzCT
43,2D-Min,7,Solute_BalabanJ
43,2D-Min,8,Solute_MolLogP
43,2D-Min,9,Solute_TPSA
43,2D-Min,10,Solute_NumHDonors
43,2D-Min,11,Solute_NumHAcceptors
43,2D-Min,12,Solute_LabuteASA
43,2D-Min,13,Solvent_MolWt
43,2D-Min,14,Solvent_HeavyAtomCount
43,2D-Min,15,Solvent_NumRotatableBonds
43,2D-Min,16,Solvent_RingCount
43,2D-Min,17,Solvent_NumAromaticRings
43,2D-Min,18,Solvent_BertzCT
43,2D-Min,19,Solvent_BalabanJ
43,2D-Min,20,Solvent_MolLogP
43,2D-Min,21,Solvent_TPSA
43,2D-Min,22,Solvent_NumHDonors
43,2D-Min,23,Solvent_NumHAcceptors
43,2D-Min,24,Solvent_LabuteASA
