seed,learner,feature_layer,feature_count,train_n,val_n,test_n,fit_seconds,predict_seconds,R2,MAE,RMSE
42,ExtraTrees,2D-Elec,33,88054,9784,5424,5.92402191698784,0.059950208000373095,0.608867718366368,0.5476846233731122,0.7801484025351272
42,ExtraTrees,2D-Min,25,88054,9784,5424,4.279092916985974,0.06071441702079028,0.5450115716960132,0.5925183934546497,0.8414253044513531
42,ExtraTrees,CAT-Solv-47,47,88054,9784,5424,9.259052416018676,0.05925720796221867,0.7523653429411191,0.4318307098094319,0.620756256487351
42,ExtraTrees,Sigma-Solv,47,88054,9784,5424,8.883391084033065,0.047871582966763526,0.7246199924997024,0.4479128339033641,0.6546084341316176
42,HistGradientBoosting,2D-Elec,33,88054,9784,5424,7.689553458010778,0.03600737499073148,0.6153704659188387,0.5562565600861347,0.7736360649652105
42,HistGradientBoosting,2D-Min,25,88054,9784,5424,6.588906374992803,0.030210458033252507,0.48141386987618073,0.6643921117588335,0.8983091873915954
42,HistGradientBoosting,CAT-Solv-47,47,88054,9784,5424,9.057868833013345,0.04475587495835498,0.804517512213905,0.391903996631645,0.5515302299251125
42,HistGradientBoosting,Sigma-Solv,47,88054,9784,5424,8.193957291019615,0.03305820800596848,0.7767229152159754,0.42588124244487124,0.5894371026417216
42,RandomForest,2D-Elec,33,88054,9784,5424,10.229682792036328,0.03889608400641009,0.5950947102922362,0.5558132042642432,0.7937653156721228
42,RandomForest,2D-Min,25,88054,9784,5424,7.070378709002398,0.08111633401131257,0.479336412729381,0.6425148721439109,0.900106703241142
42,RandomForest,CAT-Solv-47,47,88054,9784,5424,19.403597666008864,0.042357750004157424,0.6685685946083614,0.5118122754391425,0.718145133864234
42,RandomForest,Sigma-Solv,47,88054,9784,5424,15.853541624965146,0.056871124950703233,0.7231560864544702,0.4562520322010646,0.6563460603988308
42,XGBoost,2D-Elec,33,88054,9784,5424,1.7389963750028983,0.005405667005106807,0.6781718134880066,0.5087068676948547,0.7076645854476725
42,XGBoost,2D-Min,25,88054,9784,5424,1.3612616669852287,0.005663749994710088,0.5393455028533936,0.6277387738227844,0.8466483597641039
42,XGBoost,CAT-Solv-47,47,88054,9784,5424,2.7081565000116825,0.007478958985302597,0.7825525999069214,0.420314222574234,0.5816912329941213
42,XGBoost,Sigma-Solv,47,88054,9784,5424,2.308511042036116,0.006542499992065132,0.7599157094955444,0.43942657113075256,0.611219621968297
43,ExtraTrees,2D-Elec,33,88054,9784,5424,6.521242667047773,0.06622891599545255,0.6110088673950491,0.5454214184774282,0.7780101152980685
43,ExtraTrees,2D-Min,25,88054,9784,5424,4.886095208988991,0.06655970797874033,0.5447934491312431,0.5899753194073171,0.8416269709583245
43,ExtraTrees,CAT-Solv-47,47,88054,9784,5424,9.870033917017281,0.06324062502244487,0.753031540836491,0.42697771285558817,0.6199207009422592
43,ExtraTrees,Sigma-Solv,47,88054,9784,5424,9.810393000021577,0.05620758299482986,0.7214969630110737,0.4499712877376983,0.6583098609779618
43,HistGradientBoosting,2D-Elec,33,88054,9784,5424,7.9492642089608125,0.03558504197280854,0.594178573071807,0.5729654585807126,0.7946627935444607
43,HistGradientBoosting,2D-Min,25,88054,9784,5424,6.966667290951591,0.030730083002708852,0.4880162691035024,0.6652801861704356,0.8925724405425016
43,HistGradientBoosting,CAT-Solv-47,47,88054,9784,5424,9.167711290996522,0.036859665997326374,0.7826162808958865,0.4098043782392055,0.5816060294332979
43,HistGradientBoosting,Sigma-Solv,47,88054,9784,5424,12.229839249979705,0.043564499996136874,0.7775762193587311,0.4217278130042165,0.5883096904954017
43,RandomForest,2D-Elec,33,88054,9784,5424,11.462925041036215,0.044608165975660086,0.5934896016523585,0.552361403599156,0.7953370652044666
43,RandomForest,2D-Min,25,88054,9784,5424,8.387445957981981,0.041280874982476234,0.4823672477319024,0.6391011829262638,0.8974830738326085
43,RandomForest,CAT-Solv-47,47,88054,9784,5424,20.654285666998476,0.039887707971502095,0.677168449203452,0.49852550543649904,0.7087668209871052
43,RandomForest,Sigma-Solv,47,88054,9784,5424,17.46355649997713,0.04358624998712912,0.7190744757007306,0.45901339661084806,0.6611667318172325
43,XGBoost,2D-Elec,33,88054,9784,5424,1.8343824589974247,0.006343332992400974,0.699001133441925,0.49884968996047974,0.6843808247914936
43,XGBoost,2D-Min,25,88054,9784,5424,1.6191029160399921,0.007817125006113201,0.553516149520874,0.6130535006523132,0.8335243403559859
43,XGBoost,CAT-Solv-47,47,88054,9784,5424,2.687874333001673,0.006341582979075611,0.7776510715484619,0.42677041888237,0.5882106682938072
43,XGBoost,Sigma-Solv,47,88054,9784,5424,2.4428542500245385,0.006627249997109175,0.768730878829956,0.43407076597213745,0.5998936330369978
44,ExtraTrees,2D-Elec,33,88054,9784,5424,7.480760416015983,0.06612487498205155,0.6106438097229778,0.5466931106760875,0.7783751004263277
44,ExtraTrees,2D-Min,25,88054,9784,5424,5.6063966659712605,0.0732063339673914,0.5559705351673414,0.5858503390199324,0.8312301508398573
44,ExtraTrees,CAT-Solv-47,47,88054,9784,5424,10.264696791011374,0.07234604196855798,0.7539359842492012,0.42982061930095544,0.6187845285959197
44,ExtraTrees,Sigma-Solv,47,88054,9784,5424,10.440829125000164,0.0677437080303207,0.7294098062364537,0.4445938352302445,0.6488905055231242
44,HistGradientBoosting,2D-Elec,33,88054,9784,5424,8.620068625023123,0.03869349998421967,0.605459612492055,0.5680883484046495,0.7835399169828229
44,HistGradientBoosting,2D-Min,25,88054,9784,5424,7.2783741249586456,0.031179499987047166,0.5001923398934078,0.661934584884724,0.8818949318961786
44,HistGradientBoosting,CAT-Solv-47,47,88054,9784,5424,8.566227458009962,0.0367110000224784,0.7938286398117366,0.403356732721835,0.5664082375942929
44,HistGradientBoosting,Sigma-Solv,47,88054,9784,5424,8.173624750052113,0.0352753329789266,0.772701420209073,0.4209608205782754,0.594721657218441
44,RandomForest,2D-Elec,33,88054,9784,5424,12.8879492499982,0.03903604100923985,0.5826110540373912,0.5608691501567341,0.8059087376466134
44,RandomForest,2D-Min,25,88054,9784,5424,9.11596429196652,0.03756195801543072,0.5003775196052398,0.6288776444371691,0.881731544865753
44,RandomForest,CAT-Solv-47,47,88054,9784,5424,22.35111325001344,0.0393915839958936,0.6753738459609302,0.5000024548553276,0.7107340891266719
44,RandomForest,Sigma-Solv,47,88054,9784,5424,18.492184625007212,0.045332000008784235,0.7134861403844235,0.46277668494916696,0.6677105071449861
44,XGBoost,2D-Elec,33,88054,9784,5424,1.996517124993261,0.0067624159855768085,0.714377760887146,0.4777988791465759,0.6666707595063778
44,XGBoost,2D-Min,25,88054,9784,5424,1.6270283750491217,0.006627540977206081,0.535208523273468,0.6306954026222229,0.8504415711477652
44,XGBoost,CAT-Solv-47,47,88054,9784,5424,2.808559667028021,0.006635916011873633,0.7785869240760803,0.42245590686798096,0.586971540381763
44,XGBoost,Sigma-Solv,47,88054,9784,5424,2.5481987500097603,0.007214249984826893,0.7488445043563843,0.44778668880462646,0.6251536657255647
45,ExtraTrees,2D-Elec,33,88054,9784,5424,7.431959667010233,0.06508804199984297,0.6080752161060385,0.5464573055960555,0.7809383609940497
45,ExtraTrees,2D-Min,25,88054,9784,5424,5.483503166993614,0.06294416700256988,0.5450123958811935,0.5910290149398193,0.8414245423544104
45,ExtraTrees,CAT-Solv-47,47,88054,9784,5424,10.472725375031587,0.07832149998284876,0.743694768010499,0.4361112291848394,0.6315302074651501
45,ExtraTrees,Sigma-Solv,47,88054,9784,5424,10.418961582996417,0.08690508297877386,0.7275178480342842,0.4460807259776154,0.6511550650822366
45,HistGradientBoosting,2D-Elec,33,88054,9784,5424,7.872249291976914,0.030229208001401275,0.592917508897671,0.5710349677603155,0.7958965178055079
45,HistGradientBoosting,2D-Min,25,88054,9784,5424,7.155413000029512,0.033147124981042,0.46640444605467146,0.6800950625919274,0.9112163295976922
45,HistGradientBoosting,CAT-Solv-47,47,88054,9784,5424,7.875782041053753,0.05712949996814132,0.7979851737788018,0.39255862042835826,0.5606696078304909
45,HistGradientBoosting,Sigma-Solv,47,88054,9784,5424,8.202744208974764,0.03834595897933468,0.7680922897597234,0.42685723380065593,0.6007212386189307
45,RandomForest,2D-Elec,33,88054,9784,5424,12.726337667030748,0.03677029098616913,0.5881828555410887,0.5612968243160086,0.8005115534413619
45,RandomForest,2D-Min,25,88054,9784,5424,9.210019833990373,0.048223250021692365,0.49858227833813107,0.6297186059078924,0.8833142413323836
45,RandomForest,CAT-Solv-47,47,88054,9784,5424,21.88107125001261,0.03744499996537343,0.6639259369360455,0.5102474817581412,0.7231574940224589
45,RandomForest,Sigma-Solv,47,88054,9784,5424,18.509877917007543,0.03800808300729841,0.7054730187361895,0.4698199236908151,0.6769832694350437
45,XGBoost,2D-Elec,33,88054,9784,5424,1.951037458027713,0.006221542018465698,0.6719776391983032,0.5243489742279053,0.7144422393687015
45,XGBoost,2D-Min,25,88054,9784,5424,1.6150852919672616,0.006302708003204316,0.5338503122329712,0.6266311407089233,0.8516832318595483
45,XGBoost,CAT-Solv-47,47,88054,9784,5424,2.890500042005442,0.007375707966275513,0.790246307849884,0.4112222194671631,0.5713078683219499
45,XGBoost,Sigma-Solv,47,88054,9784,5424,2.46281379199354,0.006491208972875029,0.7513070702552795,0.44883155822753906,0.6220812834007315
46,ExtraTrees,2D-Elec,33,88054,9784,5424,8.466465250006877,0.07687774999067187,0.6071099570034273,0.549095181459394,0.7818994437461442
46,ExtraTrees,2D-Min,25,88054,9784,5424,5.753078083042055,0.07142120797652751,0.5491025501159239,0.5908265030095848,0.8376339713206256
46,ExtraTrees,CAT-Solv-47,47,88054,9784,5424,11.332842457981315,0.07408454205142334,0.7557312115379227,0.4293354135025646,0.616523140564772
46,ExtraTrees,Sigma-Solv,47,88054,9784,5424,12.011389207968023,0.0747397500090301,0.7317960211623837,0.44187821761723106,0.6460230309682528
46,HistGradientBoosting,2D-Elec,33,88054,9784,5424,14.783303791016806,0.05044670798815787,0.5721752411155313,0.5849684034870832,0.815921448879558
46,HistGradientBoosting,2D-Min,25,88054,9784,5424,8.272881959041115,0.036529375007376075,0.5493117010968117,0.6281728372888202,0.8374396784859721
46,HistGradientBoosting,CAT-Solv-47,47,88054,9784,5424,14.024032624962274,0.051457208988722414,0.7964504429082968,0.3999877905729509,0.5627953152929251
46,HistGradientBoosting,Sigma-Solv,47,88054,9784,5424,14.266419709019829,0.05941312498180196,0.7552276405379654,0.4393880800839741,0.6171583083499097
46,RandomForest,2D-Elec,33,88054,9784,5424,14.413740958960261,0.05479804199421778,0.5833771040202027,0.5642990368554167,0.8051688403518911
46,RandomForest,2D-Min,25,88054,9784,5424,9.415785916964523,0.041875666996929795,0.4947524565399498,0.6333659687475149,0.8866811955080238
46,RandomForest,CAT-Solv-47,47,88054,9784,5424,24.912288375024218,0.0382940829731524,0.6814447600268936,0.4940246146016747,0.7040569168602644
46,RandomForest,Sigma-Solv,47,88054,9784,5424,21.032364915998187,0.04709720896789804,0.7146261097102236,0.46327435189673194,0.6663808539565381
46,XGBoost,2D-Elec,33,88054,9784,5424,2.0438537090085447,0.006630457995925099,0.6911052465438843,0.5013375282287598,0.6932991109098695
46,XGBoost,2D-Min,25,88054,9784,5424,1.599235832982231,0.006190082989633083,0.5364108681678772,0.6310976147651672,0.8493408831213911
46,XGBoost,CAT-Solv-47,47,88054,9784,5424,3.121881291968748,0.008851916005369276,0.7901490330696106,0.41377511620521545,0.5714403522716084
46,XGBoost,Sigma-Solv,47,88054,9784,5424,2.760654916986823,0.007293208036571741,0.7602923512458801,0.43691620230674744,0.6107400131064887
47,ExtraTrees,2D-Elec,33,88054,9784,5424,8.137652291974518,0.07340149994706735,0.6079089604146943,0.5491900172528709,0.7811039816516484
47,ExtraTrees,2D-Min,25,88054,9784,5424,6.1007846249849536,0.07078033295692876,0.5424926991119035,0.5936144605332699,0.843751207392849
47,ExtraTrees,CAT-Solv-47,47,88054,9784,5424,11.665308416006155,0.15907733305357397,0.7509147612010222,0.4297694470089013,0.6225717190030922
47,ExtraTrees,Sigma-Solv,47,88054,9784,5424,11.671446916006971,0.06952970899874344,0.7254158855086517,0.4479303249811667,0.6536617872263649
47,HistGradientBoosting,2D-Elec,33,88054,9784,5424,13.025119249999989,0.04644424997968599,0.6122860241000423,0.5532047223197258,0.7767318628040842
47,HistGradientBoosting,2D-Min,25,88054,9784,5424,12.387917459011078,0.04772837500786409,0.5254863638935054,0.6314657238725688,0.8592899678890692
47,HistGradientBoosting,CAT-Solv-47,47,88054,9784,5424,7.8954237080179155,0.03471616597380489,0.79164109547722,0.4088389062998624,0.5694051955378294
47,HistGradientBoosting,Sigma-Solv,47,88054,9784,5424,13.066923333040904,0.05325916694710031,0.7717952512294449,0.42696646134592964,0.5959059634748316
47,RandomForest,2D-Elec,33,88054,9784,5424,14.069987165974453,0.04119866696419194,0.5851259913607217,0.5594509771602165,0.803477106067066
47,RandomForest,2D-Min,25,88054,9784,5424,10.083168084034696,0.04231258301297203,0.48881604732093575,0.6340386111756645,0.8918750170176866
47,RandomForest,CAT-Solv-47,47,88054,9784,5424,24.45109520800179,0.044052708020899445,0.6725719291068077,0.49862236245806774,0.7137947469889594
47,RandomForest,Sigma-Solv,47,88054,9784,5424,20.393193583004177,0.04336495802272111,0.7146190400079647,0.4623657392525835,0.6663891081893384
47,XGBoost,2D-Elec,33,88054,9784,5424,1.9903503750101663,0.007137958018574864,0.6791086196899414,0.5133042335510254,0.7066338618404544
47,XGBoost,2D-Min,25,88054,9784,5424,1.7129558750311844,0.006599417014513165,0.5367950201034546,0.6321174502372742,0.8489889049681227
47,XGBoost,CAT-Solv-47,47,88054,9784,5424,2.9891756249708124,0.0069708749651908875,0.7849832773208618,0.4137348532676697,0.5784309711633978
47,XGBoost,Sigma-Solv,47,88054,9784,5424,2.673284374992363,0.0074474589782767,0.7462254762649536,0.44909730553627014,0.6284047372131942
48,ExtraTrees,2D-Elec,33,88054,9784,5424,7.491119875048753,0.0832905420102179,0.6044384114573897,0.5480962192942214,0.7845532919171316
48,ExtraTrees,2D-Min,25,88054,9784,5424,5.78755100001581,0.06641529203625396,0.5451515781120737,0.5920622190571005,0.8412958352188531
48,ExtraTrees,CAT-Solv-47,47,88054,9784,5424,10.445112832996529,0.07077441702131182,0.7598090302474881,0.4243114118987459,0.611355369077356
48,ExtraTrees,Sigma-Solv,47,88054,9784,5424,10.873915167001542,0.07157387502957135,0.7198014690311422,0.4505220228478108,0.6603106772097095
48,HistGradientBoosting,2D-Elec,33,88054,9784,5424,6.866863291012123,0.03282341698650271,0.6034720956678857,0.5678316390381857,0.7855109983962715
48,HistGradientBoosting,2D-Min,25,88054,9784,5424,6.608073042007163,0.031204292026814073,0.49880666754096836,0.6578796412076687,0.8831165734502419
48,HistGradientBoosting,CAT-Solv-47,47,88054,9784,5424,7.605574749992229,0.03436299995519221,0.8077082859556763,0.3946760535023187,0.5470105193639094
