learner,feature_layer,seed,SMILES_Solvent,Solvent_Name,n_rows,R2,MAE,RMSE
XGBoost,2D-Min,42,C1CCCCC1,Cyclohexane,1142,0.2513178893255019,0.9929051214852678,1.237230321636486
XGBoost,2D-Min,42,CN1CCCC1=O,NMP,1049,-0.4033615058978737,0.8039761189611275,0.9286360009925076
XGBoost,2D-Min,42,CCCOC(C)=O,n-Propyl acetate,1046,0.8951074805731816,0.18411809644587465,0.2600298309917153
XGBoost,2D-Min,42,CS(C)=O,DMSO,1076,0.4119614842014603,0.6310212583588672,0.7909664094160613
XGBoost,2D-Min,42,OCCO,Ethylene glycol,1111,0.5999366944414866,0.5004681589968076,0.6650394779411533
RandomForest,2D-Min,42,C1CCCCC1,Cyclohexane,1142,0.34239970749984283,0.905385004070153,1.1595322331670845
RandomForest,2D-Min,42,CN1CCCC1=O,NMP,1049,-0.9031129096975457,0.9292386342439357,1.081416555672745
RandomForest,2D-Min,42,CCCOC(C)=O,n-Propyl acetate,1046,0.9379603051216366,0.12660069002618599,0.19997962140847317
RandomForest,2D-Min,42,CS(C)=O,DMSO,1076,-0.09026396268625714,0.8310184931535903,1.0770130921832193
RandomForest,2D-Min,42,OCCO,Ethylene glycol,1111,0.7212781794944265,0.40475197766930526,0.555096580558747
ExtraTrees,2D-Min,42,C1CCCCC1,Cyclohexane,1142,0.2365902590558474,1.002080605184763,1.2493400880377725
ExtraTrees,2D-Min,42,CN1CCCC1=O,NMP,1049,-0.07476395409079362,0.6823603307093195,0.8126757160564055
ExtraTrees,2D-Min,42,CCCOC(C)=O,n-Propyl acetate,1046,0.9450310538394485,0.1146452250760826,0.1882390059374671
ExtraTrees,2D-Min,42,CS(C)=O,DMSO,1076,0.1613505388746611,0.7172295228902246,0.9445944512667869
ExtraTrees,2D-Min,42,OCCO,Ethylene glycol,1111,0.7005905226743483,0.41583245689153825,0.5753284343575285
HistGradientBoosting,2D-Min,42,C1CCCCC1,Cyclohexane,1142,0.17983807408860442,1.0282764776949478,1.2949459125976233
HistGradientBoosting,2D-Min,42,CN1CCCC1=O,NMP,1049,-0.35831166021609495,0.78099233869904,0.9136091716858264
HistGradientBoosting,2D-Min,42,CCCOC(C)=O,n-Propyl acetate,1046,0.8978806924859825,0.18404691032646733,0.2565693924647681
HistGradientBoosting,2D-Min,42,CS(C)=O,DMSO,1076,0.14445852725794306,0.7720293976243434,0.9540599989550852
HistGradientBoosting,2D-Min,42,OCCO,Ethylene glycol,1111,0.5618902522392646,0.5282569015712596,0.6959443688348425
XGBoost,2D-Elec,42,C1CCCCC1,Cyclohexane,1142,0.4324044312184253,0.8549417464574812,1.077261961738715
XGBoost,2D-Elec,42,CN1CCCC1=O,NMP,1049,0.447316334146427,0.45428250590906516,0.5827725015239472
