seed,model,feature_count,train_n,val_n,test_n,R2,MAE,RMSE
42,v1,33,88054,9784,5424,0.6781717949971207,0.5087069011025195,0.7076645572331534
42,v2,47,88054,9784,5424,0.7599156954380716,0.439426536558027,0.6112196079265497
42,v2_physchem_class_cross,98,88054,9784,5424,0.7659162127975714,0.4297668927504309,0.6035330549712038
42,v2_physchem_general_cross,75,88054,9784,5424,0.7759559242185726,0.4272153280069358,0.5904486388239056
43,v1,33,88054,9784,5424,0.6990010922704263,0.4988496844308804,0.6843808569050843
43,v2,47,88054,9784,5424,0.7687308446706422,0.4340707933834323,0.5998936301665928
43,v2_physchem_class_cross,98,88054,9784,5424,0.7741000493728523,0.4171559935127804,0.5928890935731567
43,v2_physchem_general_cross,75,88054,9784,5424,0.759766603652688,0.43967530712477,0.6114093614375592
44,v1,33,88054,9784,5424,0.7143777446558588,0.4777988385176263,0.6666707722210411
44,v2,47,88054,9784,5424,0.7488444391385445,0.447786631914669,0.6251536808104717
44,v2_physchem_class_cross,98,88054,9784,5424,0.7690243023158078,0.4277975040725053,0.5995129065619547
44,v2_physchem_general_cross,75,88054,9784,5424,0.7597426340439802,0.4437508133311754,0.611439862770499
45,v1,33,88054,9784,5424,0.6719776457795795,0.5243489861329329,0.7144422244729712
45,v2,47,88054,9784,5424,0.751307034385888,0.44883154104607814,0.6220812964754684
45,v2_physchem_class_cross,98,88054,9784,5424,0.7535731506700909,0.443451641987936,0.6192405755479313
45,v2_physchem_general_cross,75,88054,9784,5424,0.7620652601691658,0.43735204871719546,0.6084772166329643
46,v1,33,88054,9784,5424,0.6911052583157835,0.5013375220765997,0.6932991234058526
46,v2,47,88054,9784,5424,0.7602923186289188,0.43691619375427215,0.6107400059185543
46,v2_physchem_class_cross,98,88054,9784,5424,0.7604931931826061,0.43671121538288826,0.6104840528384855
46,v2_physchem_general_cross,75,88054,9784,5424,0.7604461571945971,0.43190247589523295,0.6105439954165494
47,v1,33,88054,9784,5424,0.6791085660146893,0.5133042442630207,0.7066338788406173
47,v2,47,88054,9784,5424,0.7462254553199228,0.4490972753455028,0.628404696298259
47,v2_physchem_class_cross,98,88054,9784,5424,0.7629805424221947,0.43696107902643355,0.6073057504026705
47,v2_physchem_general_cross,75,88054,9784,5424,0.7504855523999737,0.4541183781607427,0.6231078781200994
48,v1,33,88054,9784,5424,0.6714729565857671,0.5211871261314601,0.7149916270977608
48,v2,47,88054,9784,5424,0.7724941486845851,0.42391790711471283,0.5949927568431232
48,v2_physchem_class_cross,98,88054,9784,5424,0.7528788821881361,0.4345570157140134,0.620112267967123
48,v2_physchem_general_cross,75,88054,9784,5424,0.7704749573038536,0.42911005103182587,0.5976273051116192
49,v1,33,88054,9784,5424,0.6586299505141766,0.5274825406468778,0.7288331218619959
49,v2,47,88054,9784,5424,0.7530784194421991,0.4458475552365757,0.6198618634533033
49,v2_physchem_class_cross,98,88054,9784,5424,0.7618725860889665,0.43669061824059263,0.6087235322059004
49,v2_physchem_general_cross,75,88054,9784,5424,0.7544821634285321,0.436591463454444,0.6180974013255096
50,v1,33,88054,9784,5424,0.6857610450793925,0.5012452708994986,0.6992708174471409
50,v2,47,88054,9784,5424,0.7587259227893973,0.4377667355742674,0.6127322300178597
50,v2_physchem_class_cross,98,88054,9784,5424,0.776790932826728,0.41929262005807544,0.5893473154998631
50,v2_physchem_general_cross,75,88054,9784,5424,0.7737301414724241,0.42209462467416586,0.5933743186730106
51,v1,33,88054,9784,5424,0.6880178546789399,0.5042873106558452,0.6967552719725698
51,v2,47,88054,9784,5424,0.7575802570718636,0.43906060220293225,0.6141852558937271
51,v2_physchem_class_cross,98,88054,9784,5424,0.7698059632349549,0.42804290448785404,0.5984976202019527
51,v2_physchem_general_cross,75,88054,9784,5424,0.7689708449450235,0.4339863357878862,0.5995822786429572
52,v1,33,88054,9784,5424,0.680301546429357,0.5073644406684065,0.7053191267852369
52,v2,47,88054,9784,5424,0.7602690406093962,0.44311802774181447,0.6107696596880279
52,v2_physchem_class_cross,98,88054,9784,5424,0.7713692439475519,0.4184210067258143,0.5964619165447063
52,v2_physchem_general_cross,75,88054,9784,5424,0.7591402449006828,0.43974786203720095,0.6122059041166096
53,v1,33,88054,9784,5424,0.6681999492906568,0.5226366219789604,0.7185444138760986
53,v2,47,88054,9784,5424,0.7587934902185349,0.43700217871586766,0.6126464279272932
53,v2_physchem_class_cross,98,88054,9784,5424,0.7571557874384589,0.4333582785352384,0.6147227306189791
53,v2_physchem_general_cross,75,88054,9784,5424,0.7646443559662435,0.433086009519062,0.6051704340539624
54,v1,33,88054,9784,5424,0.6671513242937814,0.5251564453180467,0.7196789665099507
54,v2,47,88054,9784,5424,0.7532868145502485,0.44876208578065985,0.619600234950597
54,v2_physchem_class_cross,98,88054,9784,5424,0.7625080823976472,0.4287012085799431,0.6079107320548084
54,v2_physchem_general_cross,75,88054,9784,5424,0.759976781330538,0.4424180326622264,0.6111418450953467
55,v1,33,88054,9784,5424,0.6822517844459308,0.5119342448661225,0.70316452709207
55,v2,47,88054,9784,5424,0.7614905641537122,0.43852657264452893,0.609211616601307
55,v2_physchem_class_cross,98,88054,9784,5424,0.755403702773376,0.43756066810076577,0.6169363114018273
55,v2_physchem_general_cross,75,88054,9784,5424,0.7646530563124073,0.43425329535798923,0.6051592483419175
56,v1,33,88054,9784,5424,0.6940027350816012,0.4967591561059659,0.6900398398953634
56,v2,47,88054,9784,5424,0.7476791958480395,0.45001874109874296,0.6266022116747312
56,v2_physchem_class_cross,98,88054,9784,5424,0.772988065708369,0.42799658073137264,0.5943465388982524
56,v2_physchem_general_cross,75,88054,9784,5424,0.7628148196843614,0.43742982589222,0.6075180257709735
57,v1,33,88054,9784,5424,0.6777310169667592,0.5098986811125775,0.7081490024355589
57,v2,47,88054,9784,5424,0.745413569305202,0.44956628721146175,0.6294091027468358
57,v2_physchem_class_cross,98,88054,9784,5424,0.7700954553319951,0.423116646951395,0.5981211664047049
57,v2_physchem_general_cross,75,88054,9784,5424,0.7666427989799702,0.43453868597341194,0.6025956564467482
58,v1,33,88054,9784,5424,0.6904134817873904,0.5122129510488255,0.6940750185136666
58,v2,47,88054,9784,5424,0.7585495310783285,0.4402348529283189,0.6129561685795251
58,v2_physchem_class_cross,98,88054,9784,5424,0.769997160480881,0.4240787202030917,0.598249015004494
58,v2_physchem_general_cross,75,88054,9784,5424,0.7660069300177589,0.4290376542140883,0.6034160965366219
59,v1,33,88054,9784,5424,0.6805681892934485,0.5116011447813754,0.7050249315198556
59,v2,47,88054,9784,5424,0.748562295261463,0.45115149536682564,0.6255047257444996
59,v2_physchem_class_cross,98,88054,9784,5424,0.768372611689027,0.4270411147428193,0.6003580641891011
59,v2_physchem_general_cross,75,88054,9784,5424,0.7615625463885153,0.436574801611175,0.6091196795199848
60,v1,33,88054,9784,5424,0.682715139602541,0.5099578847269147,0.702651646515723
60,v2,47,88054,9784,5424,0.7536892545404507,0.44768883081461175,0.6190946809383086
60,v2_physchem_class_cross,98,88054,9784,5424,0.7797781075771246,0.42083251705408925,0.5853904573351141
60,v2_physchem_general_cross,75,88054,9784,5424,0.7717590770947428,0.4338140213512301,0.5959531927160916
61,v1,33,88054,9784,5424,0.6943242451985008,0.5025311165722839,0.6896772335567544
61,v2,47,88054,9784,5424,0.7534046637073596,0.44707982109160266,0.6194522329552871
61,v2_physchem_class_cross,98,88054,9784,5424,0.7542277897520748,0.43490644790067745,0.6184175145338456
61,v2_physchem_general_cross,75,88054,9784,5424,0.7529954059459547,0.4451962134806923,0.619966051544543
