reference,candidate,SMILES_Solvent,Solvent_Name,n_rows,delta_R2_mean,delta_R2_std,delta_MAE_mean,delta_MAE_std,delta_RMSE_mean,wins_R2,wins_MAE,wins_RMSE
v2,v1,C1CCCCC1,Cyclohexane,1142,-0.0793400597712092,0.03876346454955671,0.0657484056039331,0.03657718948241254,0.08332702939547257,0,0,0
v2,v1,CCCOC(C)=O,n-Propyl acetate,1046,0.01430116740612793,0.007479704138330955,-0.025641618463938677,0.009363199659417811,-0.020262869571483405,19,20,19
v2,v1,CN1CCCC1=O,NMP,1049,-0.22858136486944103,0.050127356042060194,0.1075202453657883,0.02252517906607625,0.13174475914761577,0,0,0
v2,v1,CS(C)=O,DMSO,1076,-0.2589454106105772,0.05882992195478257,0.18978032972496978,0.03658996963568165,0.18640852819811415,0,0,0
v2,v1,OCCO,Ethylene glycol,1111,0.0016057653149608331,0.029016967842185257,-0.003437823010964308,0.02294238395748751,-0.001990369616806592,11,11,11
v2,v2_physchem_class_cross,C1CCCCC1,Cyclohexane,1142,-0.0002816505065778907,0.034457384575618456,0.0024476287844462986,0.03317666307712427,0.00023158707096475052,10,8,10
v2,v2_physchem_class_cross,CCCOC(C)=O,n-Propyl acetate,1046,0.00495923626110778,0.010387237824922242,-0.0073277738625489326,0.013017960943884601,-0.0068274303498194145,15,15,15
v2,v2_physchem_class_cross,CN1CCCC1=O,NMP,1049,0.05794503280611689,0.03511177502884592,-0.028218323612553626,0.018334327286508974,-0.039477065420817394,18,18,18
v2,v2_physchem_class_cross,CS(C)=O,DMSO,1076,0.037516026050488,0.025341263940101135,-0.025766390043553866,0.018314772804003645,-0.03174489038370963,19,18,19
v2,v2_physchem_class_cross,OCCO,Ethylene glycol,1111,-0.0019400369513211668,0.017558577301687542,-0.009787666022474249,0.013373315575684955,0.0018845528967937452,9,14,9
v2,v2_physchem_general_cross,C1CCCCC1,Cyclohexane,1142,0.008417469185195519,0.028546774837471506,-0.005657008913615413,0.025336353603362394,-0.00933551940747825,11,11,11
v2,v2_physchem_general_cross,CCCOC(C)=O,n-Propyl acetate,1046,-0.010274065367800834,0.009242363844881907,0.009605067445340041,0.010240937081729086,0.013733463875390456,3,5,3
v2,v2_physchem_general_cross,CN1CCCC1=O,NMP,1049,0.02385922800039824,0.036840889807389865,-0.00793125199868192,0.019276720334689273,-0.01578797568512244,14,13,14
v2,v2_physchem_general_cross,CS(C)=O,DMSO,1076,0.04220586294857827,0.024275273459189905,-0.029882299310256655,0.019982452000912743,-0.03589470203419386,20,19,20
v2,v2_physchem_general_cross,OCCO,Ethylene glycol,1111,-0.01137636044210713,0.016824963087408596,0.0004968137319117383,0.013865475948017281,0.01122043960561912,3,10,3
