model,seed,SMILES_Solvent,Solvent_Name,n_rows,R2,MAE,RMSE
v1,42,C1CCCCC1,Cyclohexane,1142,0.4324044312184253,0.8549417464574812,1.077261961738715
v1,42,CN1CCCC1=O,NMP,1049,0.447316334146427,0.45428250590906516,0.5827725015239472
v1,42,CCCOC(C)=O,n-Propyl acetate,1046,0.9268810728670763,0.15983589653328753,0.21710299787051415
v1,42,CS(C)=O,DMSO,1076,0.40425631341888735,0.648789815522123,0.7961316293944074
v1,42,OCCO,Ethylene glycol,1111,0.7529510317617886,0.39698849608585934,0.5226062379836756
v2,42,C1CCCCC1,Cyclohexane,1142,0.5890050229606341,0.7122682557069978,0.9166849138265563
v2,42,CN1CCCC1=O,NMP,1049,0.6466402753899647,0.3632472500638323,0.4659821279154525
v2,42,CCCOC(C)=O,n-Propyl acetate,1046,0.9012254407436199,0.19627418411474196,0.2523326597679136
v2,42,CS(C)=O,DMSO,1076,0.6397061855399573,0.4749226961004459,0.6191324360505569
v2,42,OCCO,Ethylene glycol,1111,0.7069965675518526,0.42544842787424575,0.5691404082533377
v2_physchem_general_cross,42,C1CCCCC1,Cyclohexane,1142,0.6276255200311518,0.6819620619481516,0.8725529313039883
v2_physchem_general_cross,42,CN1CCCC1=O,NMP,1049,0.6580101302204495,0.3671426263480261,0.4584240115999632
v2_physchem_general_cross,42,CCCOC(C)=O,n-Propyl acetate,1046,0.9032991409850374,0.19006955491632813,0.24966983903455883
v2_physchem_general_cross,42,CS(C)=O,DMSO,1076,0.6593520972105122,0.4601925189212573,0.6020159721936006
v2_physchem_general_cross,42,OCCO,Ethylene glycol,1111,0.7183861951894164,0.41341381145274475,0.5579689568238095
v2_physchem_class_cross,42,C1CCCCC1,Cyclohexane,1142,0.5729043020081263,0.7349915446651029,0.9344679817150958
v2_physchem_class_cross,42,CN1CCCC1=O,NMP,1049,0.69108889697793,0.3419522126648901,0.4356899030718575
v2_physchem_class_cross,42,CCCOC(C)=O,n-Propyl acetate,1046,0.93297146515275,0.1566737340328076,0.20786471705080536
v2_physchem_class_cross,42,CS(C)=O,DMSO,1076,0.6592714926137061,0.46879652579489145,0.6020871929234551
v2_physchem_class_cross,42,OCCO,Ethylene glycol,1111,0.7198472450368979,0.4182552867972097,0.5565196660483666
v1,43,C1CCCCC1,Cyclohexane,1142,0.540892501958294,0.762248130338989,0.9688555240792779
v1,43,CN1CCCC1=O,NMP,1049,0.41307528702943397,0.4703072877771467,0.6005538209889194
v1,43,CCCOC(C)=O,n-Propyl acetate,1046,0.9274782828546281,0.16051719799430111,0.21621456913579343
v1,43,CS(C)=O,DMSO,1076,0.3808384039705014,0.6687477569381077,0.8116282585811414
v1,43,OCCO,Ethylene glycol,1111,0.7293159784229526,0.4090435671109817,0.5470340719617439
v2,43,C1CCCCC1,Cyclohexane,1142,0.6170463883269531,0.6953162092822123,0.8848607101704461
v2,43,CN1CCCC1=O,NMP,1049,0.6268341441324552,0.37280615718843113,0.47886344564872957
v2,43,CCCOC(C)=O,n-Propyl acetate,1046,0.9176444121087263,0.17508449785997002,0.2304079453326606
v2,43,CS(C)=O,DMSO,1076,0.6219618487918038,0.48936229276977283,0.6341952271606248
v2,43,OCCO,Ethylene glycol,1111,0.7321848436047296,0.4136660680818918,0.5441274588563636
v2_physchem_general_cross,43,C1CCCCC1,Cyclohexane,1142,0.5834668985332605,0.7244069917544185,0.922840375057123
v2_physchem_general_cross,43,CN1CCCC1=O,NMP,1049,0.7017178101684741,0.34271308718707405,0.42812875483521934
v2_physchem_general_cross,43,CCCOC(C)=O,n-Propyl acetate,1046,0.8975445750790998,0.19958469834076756,0.25699128425309936
v2_physchem_general_cross,43,CS(C)=O,DMSO,1076,0.6437675961484051,0.46700976728383464,0.6156329621723422
v2_physchem_general_cross,43,OCCO,Ethylene glycol,1111,0.6858292183949588,0.4381205659226978,0.5893400604385328
v2_physchem_class_cross,43,C1CCCCC1,Cyclohexane,1142,0.6068945202376976,0.7024331907998546,0.896512554932377
v2_physchem_class_cross,43,CN1CCCC1=O,NMP,1049,0.7166840026349683,0.3232359877022852,0.4172499421490383
v2_physchem_class_cross,43,CCCOC(C)=O,n-Propyl acetate,1046,0.9221017366090476,0.16933454082036403,0.22408604066993693
v2_physchem_class_cross,43,CS(C)=O,DMSO,1076,0.6612871735997512,0.448536443226879,0.6003036381497078
v2_physchem_class_cross,43,OCCO,Ethylene glycol,1111,0.7021238589686343,0.4155280928982603,0.5738533569419797
v1,44,C1CCCCC1,Cyclohexane,1142,0.538863635055,0.749772499604747,0.9709939252607669
v1,44,CN1CCCC1=O,NMP,1049,0.5075379676642764,0.4254257434281635,0.5501069260190936
v1,44,CCCOC(C)=O,n-Propyl acetate,1046,0.9263066258033507,0.1535256790007305,0.21795414676468342
v1,44,CS(C)=O,DMSO,1076,0.40903835096827224,0.6547673059211112,0.7929299151209269
v1,44,OCCO,Ethylene glycol,1111,0.7636207680365751,0.3815946168397485,0.5111963281268311
v2,44,C1CCCCC1,Cyclohexane,1142,0.5617966835605944,0.745332822966828,0.9465414938724858
v2,44,CN1CCCC1=O,NMP,1049,0.6266599787012674,0.3673170765845223,0.478975181125176
v2,44,CCCOC(C)=O,n-Propyl acetate,1046,0.9134183475554742,0.18378916942708884,0.2362456662086516
v2,44,CS(C)=O,DMSO,1076,0.6085164753454269,0.48608332888542866,0.6453746445604781
v2,44,OCCO,Ethylene glycol,1111,0.7155042730935148,0.429378812995884,0.5608167043238855
v2_physchem_general_cross,44,C1CCCCC1,Cyclohexane,1142,0.5790841712182968,0.7337643310054812,0.9276826963335483
