reference,candidate,metric,mean_delta,std_delta,median_delta,wins,n_seeds
v2,v1,R2,-0.07315248167805333,0.014753316193800716,-0.07035193366906278,0,20
v2,v1,MAE,0.06663652232559181,0.01408811886590921,0.0646001096848878,0,20
v2,v1,RMSE,0.08623774362740719,0.01702971453103695,0.08402209615795297,0,20
v2,class_cross_top33_valshap,R2,-0.0003772827695199932,0.02307931998035005,0.008494255555453578,15,20
v2,class_cross_top33_valshap,MAE,0.013455426959368823,0.028945560893324285,0.001936155462474054,9,20
v2,class_cross_top33_valshap,RMSE,-0.00018686231088111405,0.02807086252959583,-0.010915557650070684,15,20
v2,class_cross_top47_valshap,R2,0.03246674619106303,0.009078767104043187,0.03243666463946837,20,20
v2,class_cross_top47_valshap,MAE,-0.02978594360679751,0.009016082068752687,-0.030507786783916996,20,20
v2,class_cross_top47_valshap,RMSE,-0.042488430976658165,0.01201468351857982,-0.04195574871389307,20,20
v2,class_cross_top60_valshap,R2,0.018614674362419655,0.010685732885299172,0.01677095218946273,20,20
v2,class_cross_top60_valshap,MAE,-0.018479011899006484,0.009663552950212166,-0.01601467566897416,20,20
v2,class_cross_top60_valshap,RMSE,-0.023981610553753856,0.01383119571813056,-0.021585683497365338,20,20
v2,class_cross_full98,R2,0.009549943367682306,0.011640142577686655,0.010160735592777248,17,20
v2,class_cross_full98,MAE,-0.013471499538309367,0.010021789561828294,-0.014164752958076204,19,20
v2,class_cross_full98,RMSE,-0.012197573442712334,0.014870831055360323,-0.012998623019555122,17,20
