seed,model,feature_count,train_n,val_n,test_n,R2,MAE,RMSE
42,class_cross_full98,98,88054,9784,5424,0.7659162127975714,0.4297668927504309,0.6035330549712038
42,class_cross_top33_valshap,33,88054,9784,5424,0.7591348526239937,0.4494060773946112,0.6122127569948502
42,class_cross_top47_valshap,47,88054,9784,5424,0.7825525961421915,0.42031424572245557,0.5816912176113699
42,class_cross_top60_valshap,60,88054,9784,5424,0.7787815549874293,0.4225470503149121,0.586713472696442
42,v1,33,88054,9784,5424,0.6781717949971207,0.5087069011025195,0.7076645572331534
42,v2,47,88054,9784,5424,0.7599156954380716,0.439426536558027,0.6112196079265497
43,class_cross_full98,98,88054,9784,5424,0.7741000493728523,0.4171559935127804,0.5928890935731567
43,class_cross_top33_valshap,33,88054,9784,5424,0.7694483086527568,0.4339096736088154,0.5989623853602313
43,class_cross_top47_valshap,47,88054,9784,5424,0.7776510862270887,0.4267704020011848,0.5882106716803961
43,class_cross_top60_valshap,60,88054,9784,5424,0.7756259267205639,0.42141661949076664,0.5908833186466118
43,v1,33,88054,9784,5424,0.6990010922704263,0.4988496844308804,0.6843808569050843
43,v2,47,88054,9784,5424,0.7687308446706422,0.4340707933834323,0.5998936301665928
44,class_cross_full98,98,88054,9784,5424,0.7690243023158078,0.4277975040725053,0.5995129065619547
44,class_cross_top33_valshap,33,88054,9784,5424,0.7703396713092993,0.43584094894587827,0.5978034050552725
44,class_cross_top47_valshap,47,88054,9784,5424,0.778586906806155,0.42245594546870463,0.5869715379765245
44,class_cross_top60_valshap,60,88054,9784,5424,0.756949237177762,0.43592227614124873,0.6149841001441001
44,v1,33,88054,9784,5424,0.7143777446558588,0.4777988385176263,0.6666707722210411
44,v2,47,88054,9784,5424,0.7488444391385445,0.447786631914669,0.6251536808104717
45,class_cross_full98,98,88054,9784,5424,0.7535731506700909,0.443451641987936,0.6192405755479313
45,class_cross_top33_valshap,33,88054,9784,5424,0.6939564965106513,0.5270748414988882,0.6900919731241788
45,class_cross_top47_valshap,47,88054,9784,5424,0.790246304341599,0.4112221700343116,0.5713078666121494
45,class_cross_top60_valshap,60,88054,9784,5424,0.7746226932258788,0.429898238442012,0.592202840042859
45,v1,33,88054,9784,5424,0.6719776457795795,0.5243489861329329,0.7144422244729712
45,v2,47,88054,9784,5424,0.751307034385888,0.44883154104607814,0.6220812964754684
46,class_cross_full98,98,88054,9784,5424,0.7604931931826061,0.43671121538288826,0.6104840528384855
46,class_cross_top33_valshap,33,88054,9784,5424,0.7721241778055187,0.43673485633515013,0.5954763500576524
46,class_cross_top47_valshap,47,88054,9784,5424,0.7901490232436106,0.4137751101888602,0.571440333918252
46,class_cross_top60_valshap,60,88054,9784,5424,0.7662220182643906,0.4289201052910908,0.6031387003953883
46,v1,33,88054,9784,5424,0.6911052583157835,0.5013375220765997,0.6932991234058526
46,v2,47,88054,9784,5424,0.7602923186289188,0.43691619375427215,0.6107400059185543
47,class_cross_full98,98,88054,9784,5424,0.7629805424221947,0.43696107902643355,0.6073057504026705
47,class_cross_top33_valshap,33,88054,9784,5424,0.7590291309858553,0.4518315424608573,0.6123470998741919
47,class_cross_top47_valshap,47,88054,9784,5424,0.784983237344484,0.4137348565369645,0.5784309901453252
47,class_cross_top60_valshap,60,88054,9784,5424,0.7748450296436704,0.42244973621780957,0.5919106616755989
47,v1,33,88054,9784,5424,0.6791085660146893,0.5133042442630207,0.7066338788406173
47,v2,47,88054,9784,5424,0.7462254553199228,0.4490972753455028,0.628404696298259
48,class_cross_full98,98,88054,9784,5424,0.7528788821881361,0.4345570157140134,0.620112267967123
48,class_cross_top33_valshap,33,88054,9784,5424,0.7755360418267545,0.43336612027975524,0.5910016615671779
48,class_cross_top47_valshap,47,88054,9784,5424,0.8064602960040346,0.39619881204614077,0.5487827222032132
48,class_cross_top60_valshap,60,88054,9784,5424,0.7770543354645033,0.42380826563492113,0.588999476893302
48,v1,33,88054,9784,5424,0.6714729565857671,0.5211871261314601,0.7149916270977608
48,v2,47,88054,9784,5424,0.7724941486845851,0.42391790711471283,0.5949927568431232
49,class_cross_full98,98,88054,9784,5424,0.7618725860889665,0.43669061824059263,0.6087235322059004
49,class_cross_top33_valshap,33,88054,9784,5424,0.7655839064625098,0.4469855990461693,0.6039612920829316
49,class_cross_top47_valshap,47,88054,9784,5424,0.7955562769069574,0.40283320411274703,0.5640301037349936
49,class_cross_top60_valshap,60,88054,9784,5424,0.7768391327188542,0.4197212283313923,0.5892836800681017
49,v1,33,88054,9784,5424,0.6586299505141766,0.5274825406468778,0.7288331218619959
49,v2,47,88054,9784,5424,0.7530784194421991,0.4458475552365757,0.6198618634533033
50,class_cross_full98,98,88054,9784,5424,0.776790932826728,0.41929262005807544,0.5893473154998631
50,class_cross_top33_valshap,33,88054,9784,5424,0.7712312553740961,0.4362621205632645,0.5966418847071344
50,class_cross_top47_valshap,47,88054,9784,5424,0.8006404147618665,0.4043900428613856,0.5569727581707179
50,class_cross_top60_valshap,60,88054,9784,5424,0.7768274341553653,0.4271610081530852,0.5892991256125739
50,v1,33,88054,9784,5424,0.6857610450793925,0.5012452708994986,0.6992708174471409
50,v2,47,88054,9784,5424,0.7587259227893973,0.4377667355742674,0.6127322300178597
51,class_cross_full98,98,88054,9784,5424,0.7698059632349549,0.42804290448785404,0.5984976202019527
51,class_cross_top33_valshap,33,88054,9784,5424,0.7627369090061709,0.452722485472167,0.6076177964544875
51,class_cross_top47_valshap,47,88054,9784,5424,0.7999666976302172,0.39977806540934824,0.5579130831599266
51,class_cross_top60_valshap,60,88054,9784,5424,0.7727248680991909,0.42728773281301596,0.5946909817431041
51,v1,33,88054,9784,5424,0.6880178546789399,0.5042873106558452,0.6967552719725698
51,v2,47,88054,9784,5424,0.7575802570718636,0.43906060220293225,0.6141852558937271
52,class_cross_full98,98,88054,9784,5424,0.7713692439475519,0.4184210067258143,0.5964619165447063
52,class_cross_top33_valshap,33,88054,9784,5424,0.7734298683190268,0.430970694167199,0.5937679091102056
52,class_cross_top47_valshap,47,88054,9784,5424,0.788941683200951,0.4117243166735642,0.5730818161627788
52,class_cross_top60_valshap,60,88054,9784,5424,0.7765089666421428,0.41843673183685604,0.5897194409901187
52,v1,33,88054,9784,5424,0.680301546429357,0.5073644406684065,0.7053191267852369
52,v2,47,88054,9784,5424,0.7602690406093962,0.44311802774181447,0.6107696596880279
53,class_cross_full98,98,88054,9784,5424,0.7571557874384589,0.4333582785352384,0.6147227306189791
53,class_cross_top33_valshap,33,88054,9784,5424,0.7630391733863118,0.447232387496996,0.6072306318358298
53,class_cross_top47_valshap,47,88054,9784,5424,0.7823917814728696,0.41591352218236044,0.5819062746554656
53,class_cross_top60_valshap,60,88054,9784,5424,0.7725485847620461,0.42185231362103426,0.594921569642212
53,v1,33,88054,9784,5424,0.6681999492906568,0.5226366219789604,0.7185444138760986
53,v2,47,88054,9784,5424,0.7587934902185349,0.43700217871586766,0.6126464279272932
54,class_cross_full98,98,88054,9784,5424,0.7625080823976472,0.4287012085799431,0.6079107320548084
54,class_cross_top33_valshap,33,88054,9784,5424,0.7694408709708165,0.4409488685492121,0.5989720466551928
54,class_cross_top47_valshap,47,88054,9784,5424,0.8001965553002286,0.4023840726518264,0.5575924428934085
54,class_cross_top60_valshap,60,88054,9784,5424,0.7705887928964273,0.42865858891059966,0.5974790866537755
