model,seed,SMILES_Solvent,Solvent_Name,n_rows,R2,MAE,RMSE
v1,42,C1CCCCC1,Cyclohexane,1142,0.4324044312184253,0.8549417464574812,1.077261961738715
v1,42,CN1CCCC1=O,NMP,1049,0.447316334146427,0.45428250590906516,0.5827725015239472
v1,42,CCCOC(C)=O,n-Propyl acetate,1046,0.9268810728670763,0.15983589653328753,0.21710299787051415
v1,42,CS(C)=O,DMSO,1076,0.40425631341888735,0.648789815522123,0.7961316293944074
v1,42,OCCO,Ethylene glycol,1111,0.7529510317617886,0.39698849608585934,0.5226062379836756
v2,42,C1CCCCC1,Cyclohexane,1142,0.5890050229606341,0.7122682557069978,0.9166849138265563
v2,42,CN1CCCC1=O,NMP,1049,0.6466402753899647,0.3632472500638323,0.4659821279154525
v2,42,CCCOC(C)=O,n-Propyl acetate,1046,0.9012254407436199,0.19627418411474196,0.2523326597679136
v2,42,CS(C)=O,DMSO,1076,0.6397061855399573,0.4749226961004459,0.6191324360505569
v2,42,OCCO,Ethylene glycol,1111,0.7069965675518526,0.42544842787424575,0.5691404082533377
class_cross_full98,42,C1CCCCC1,Cyclohexane,1142,0.5729043020081263,0.7349915446651029,0.9344679817150958
class_cross_full98,42,CN1CCCC1=O,NMP,1049,0.69108889697793,0.3419522126648901,0.4356899030718575
class_cross_full98,42,CCCOC(C)=O,n-Propyl acetate,1046,0.93297146515275,0.1566737340328076,0.20786471705080536
class_cross_full98,42,CS(C)=O,DMSO,1076,0.6592714926137061,0.46879652579489145,0.6020871929234551
class_cross_full98,42,OCCO,Ethylene glycol,1111,0.7198472450368979,0.4182552867972097,0.5565196660483666
class_cross_top33_valshap,42,C1CCCCC1,Cyclohexane,1142,0.6141429642308643,0.6892191926301771,0.8882087328059314
class_cross_top33_valshap,42,CN1CCCC1=O,NMP,1049,0.6307822647199235,0.37553526253922115,0.47632350539632634
class_cross_top33_valshap,42,CCCOC(C)=O,n-Propyl acetate,1046,0.8605802021165675,0.23964732150483323,0.29978723713660077
class_cross_top33_valshap,42,CS(C)=O,DMSO,1076,0.606018820981406,0.5066745433710845,0.6474301077651201
class_cross_top33_valshap,42,OCCO,Ethylene glycol,1111,0.7158772489252091,0.41467223081883253,0.5604489665020385
class_cross_top47_valshap,42,C1CCCCC1,Cyclohexane,1142,0.633177352303048,0.670605471034654,0.8660239399539554
class_cross_top47_valshap,42,CN1CCCC1=O,NMP,1049,0.7381513443535664,0.3118128173442964,0.4011307085319357
class_cross_top47_valshap,42,CCCOC(C)=O,n-Propyl acetate,1046,0.8939015513587653,0.20524911457245018,0.2615203158719591
class_cross_top47_valshap,42,CS(C)=O,DMSO,1076,0.6568037630609227,0.4641411772104683,0.60426357062014
class_cross_top47_valshap,42,OCCO,Ethylene glycol,1111,0.7186368784756343,0.4255219576612156,0.5577205587856731
class_cross_top60_valshap,42,C1CCCCC1,Cyclohexane,1142,0.6196154352090785,0.6967571057487942,0.8818876685967605
class_cross_top60_valshap,42,CN1CCCC1=O,NMP,1049,0.7268553479431843,0.3230525472871278,0.409691626100297
class_cross_top60_valshap,42,CCCOC(C)=O,n-Propyl acetate,1046,0.9061355122980448,0.19206807264119619,0.2459810054404779
class_cross_top60_valshap,42,CS(C)=O,DMSO,1076,0.6441236637825815,0.46800427186166205,0.6153252111455138
class_cross_top60_valshap,42,OCCO,Ethylene glycol,1111,0.7295355731637884,0.40759735691532273,0.5468121338921795
v1,43,C1CCCCC1,Cyclohexane,1142,0.540892501958294,0.762248130338989,0.9688555240792779
v1,43,CN1CCCC1=O,NMP,1049,0.41307528702943397,0.4703072877771467,0.6005538209889194
v1,43,CCCOC(C)=O,n-Propyl acetate,1046,0.9274782828546281,0.16051719799430111,0.21621456913579343
v1,43,CS(C)=O,DMSO,1076,0.3808384039705014,0.6687477569381077,0.8116282585811414
v1,43,OCCO,Ethylene glycol,1111,0.7293159784229526,0.4090435671109817,0.5470340719617439
v2,43,C1CCCCC1,Cyclohexane,1142,0.6170463883269531,0.6953162092822123,0.8848607101704461
v2,43,CN1CCCC1=O,NMP,1049,0.6268341441324552,0.37280615718843113,0.47886344564872957
v2,43,CCCOC(C)=O,n-Propyl acetate,1046,0.9176444121087263,0.17508449785997002,0.2304079453326606
v2,43,CS(C)=O,DMSO,1076,0.6219618487918038,0.48936229276977283,0.6341952271606248
v2,43,OCCO,Ethylene glycol,1111,0.7321848436047296,0.4136660680818918,0.5441274588563636
class_cross_full98,43,C1CCCCC1,Cyclohexane,1142,0.6068945202376976,0.7024331907998546,0.896512554932377
class_cross_full98,43,CN1CCCC1=O,NMP,1049,0.7166840026349683,0.3232359877022852,0.4172499421490383
class_cross_full98,43,CCCOC(C)=O,n-Propyl acetate,1046,0.9221017366090476,0.16933454082036403,0.22408604066993693
class_cross_full98,43,CS(C)=O,DMSO,1076,0.6612871735997512,0.448536443226879,0.6003036381497078
class_cross_full98,43,OCCO,Ethylene glycol,1111,0.7021238589686343,0.4155280928982603,0.5738533569419797
class_cross_top33_valshap,43,C1CCCCC1,Cyclohexane,1142,0.632150698632314,0.6678626337182383,0.8672349957998523
class_cross_top33_valshap,43,CN1CCCC1=O,NMP,1049,0.671922819073488,0.34968739895393053,0.44900248915862356
class_cross_top33_valshap,43,CCCOC(C)=O,n-Propyl acetate,1046,0.8737273292660708,0.23123436911301223,0.28530251384799127
class_cross_top33_valshap,43,CS(C)=O,DMSO,1076,0.6257376695752088,0.4843338968265574,0.6310201284881113
class_cross_top33_valshap,43,OCCO,Ethylene glycol,1111,0.7053276799374676,0.4149328869196458,0.5707589604612476
