feature,selected_count,mean_rank,min_rank,max_rank
Solute_BertzCT,60,1.0,1,1
Temperature_K,60,2.0,2,2
Solute_TPSA,60,3.05,3,4
Solute_HB_capacity,60,4.3,3,5
Solute_MolLogP,60,4.65,4,5
Solute_MolWt,60,7.1,6,9
Solvent_MaxPartialCharge,60,7.2,6,9
Solvent_pos_area_frac,60,7.6,6,9
Solute_BalabanJ,60,8.1,6,9
Solute_MaxPartialCharge,60,10.4,10,12
Solute_polar_surface_density,60,11.95,10,14
Solute_M_hb_don,60,12.7,11,16
Solute_RingCount,60,12.9,10,19
Solute_NumAromaticRings,60,14.25,11,19
Solute_NumRotatableBonds,60,15.65,12,21
Cross_sigma2_abs_gap,60,16.8,13,22
Solute_sig3,60,16.9,13,22
Solute_MinAbsPartialCharge,60,17.85,14,20
Solute_M_nonpolar,60,18.3,13,22
Solute_LabuteASA,60,20.5,14,23
Solute_sig2,60,20.65,16,24
Cross_logP_abs_gap,60,21.0,16,25
Solute_MaxAbsPartialCharge,60,23.3,20,28
Solvent_BalabanJ,60,25.35,21,29
Solute_HeavyAtomCount,60,27.05,23,32
Cross_HB_directional_balance,60,27.15,22,31
Cross_hb_don_moment_product,60,27.8,24,33
Solute_M_hb_acc,60,28.7,25,33
Cross_TPSA_density_abs_gap,59,24.23728813559322,19,34
Solvent_MolLogP,59,30.033898305084747,26,37
Solute_MinPartialCharge,58,30.586206896551722,27,34
Solvent_sigma_asymmetry_abs,55,31.418181818181818,26,37
Solute_pos_area_frac,51,33.1764705882353,29,39
Solvent_neg_area_frac,46,35.17391304347826,24,53
Cross_surface_imbalance_product,45,35.0,32,38
Solute_NumHDonors,42,36.80952380952381,33,40
Cross_nonpolar_match,41,35.170731707317074,32,39
Solvent_sig3,41,36.5609756097561,33,39
Solvent_hydrophobic_density,41,36.75609756097561,31,40
Solute_neg_area_frac,40,40.4,38,43
Class_ester_x_solute_TPSA_density,40,41.45,38,44
Cross_sigma3_abs_gap,40,42.25,39,45
Cross_acc_to_don_surface,39,43.76923076923077,40,49
Solvent_sig2,38,43.578947368421055,39,53
Class_ester_x_solute_HBD,38,44.026315789473685,40,51
Cross_HB_capacity_product,36,44.333333333333336,32,53
Solute_signed_surface_imbalance,30,47.86666666666667,44,59
Solvent_self_hbond_proxy,27,47.55555555555556,44,52
Cross_pos_area_abs_gap,26,48.34615384615385,46,52
Solute_NumHAcceptors,25,48.32,46,56
Solvent_LabuteASA,22,52.59090909090909,46,60
Class_nonpolar_x_nonpolar_match,21,51.23809523809524,46,60
Class_nonpolar_x_solute_sigma2,19,53.31578947368421,48,58
Cross_HBA_solute_x_HBD_solvent,19,55.1578947368421,51,59
Cross_hb_acc_moment_product,18,57.05555555555556,51,60
Solvent_MinPartialCharge,16,55.3125,51,60
Solvent_MinAbsPartialCharge,15,54.733333333333334,50,60
Class_nonpolar_x_solute_TPSA_density,13,56.84615384615385,52,60
Cross_HBD_solute_x_HBA_solvent,13,57.30769230769231,53,60
Cross_temperature_x_sigma2_gap,9,55.22222222222222,50,59
Solvent_M_nonpolar,9,57.22222222222222,55,59
Solvent_M_hb_acc,9,57.666666666666664,51,60
Class_nonpolar_x_solute_HB_capacity,8,56.5,51,60
Solvent_signed_surface_imbalance,5,53.0,48,60
Cross_don_to_acc_surface,4,56.25,54,59
Solvent_MolWt,2,60.0,60,60
Solvent_polar_surface_density,1,60.0,60,60
