seed,top_k,rank,feature
42,33,1,Solute_BertzCT
42,33,2,Temperature_K
42,33,3,Solute_TPSA
42,33,4,Solute_HB_capacity
42,33,5,Solute_MolLogP
42,33,6,Solute_MolWt
42,33,7,Solute_BalabanJ
42,33,8,Solvent_pos_area_frac
42,33,9,Solvent_MaxPartialCharge
42,33,10,Solute_polar_surface_density
42,33,11,Solute_MaxPartialCharge
42,33,12,Solute_NumAromaticRings
42,33,13,Cross_sigma2_abs_gap
42,33,14,Solute_M_hb_don
42,33,15,Solute_NumRotatableBonds
42,33,16,Solute_RingCount
42,33,17,Solute_sig3
42,33,18,Solute_MinAbsPartialCharge
42,33,19,Solute_M_nonpolar
42,33,20,Solute_sig2
42,33,21,Solute_LabuteASA
42,33,22,Solute_MaxAbsPartialCharge
42,33,23,Cross_TPSA_density_abs_gap
42,33,24,Cross_logP_abs_gap
42,33,25,Solvent_BalabanJ
42,33,26,Solvent_neg_area_frac
42,33,27,Cross_HB_directional_balance
42,33,28,Solvent_MolLogP
42,33,29,Solute_M_hb_acc
42,33,30,Solute_MinPartialCharge
42,33,31,Cross_hb_don_moment_product
42,33,32,Solute_HeavyAtomCount
42,33,33,Solvent_sigma_asymmetry_abs
42,47,1,Solute_BertzCT
42,47,2,Temperature_K
42,47,3,Solute_TPSA
42,47,4,Solute_HB_capacity
42,47,5,Solute_MolLogP
42,47,6,Solute_MolWt
42,47,7,Solute_BalabanJ
42,47,8,Solvent_pos_area_frac
42,47,9,Solvent_MaxPartialCharge
42,47,10,Solute_polar_surface_density
42,47,11,Solute_MaxPartialCharge
42,47,12,Solute_NumAromaticRings
42,47,13,Cross_sigma2_abs_gap
42,47,14,Solute_M_hb_don
42,47,15,Solute_NumRotatableBonds
42,47,16,Solute_RingCount
42,47,17,Solute_sig3
42,47,18,Solute_MinAbsPartialCharge
42,47,19,Solute_M_nonpolar
42,47,20,Solute_sig2
42,47,21,Solute_LabuteASA
42,47,22,Solute_MaxAbsPartialCharge
42,47,23,Cross_TPSA_density_abs_gap
42,47,24,Cross_logP_abs_gap
42,47,25,Solvent_BalabanJ
42,47,26,Solvent_neg_area_frac
42,47,27,Cross_HB_directional_balance
42,47,28,Solvent_MolLogP
42,47,29,Solute_M_hb_acc
42,47,30,Solute_MinPartialCharge
42,47,31,Cross_hb_don_moment_product
42,47,32,Solute_HeavyAtomCount
42,47,33,Solvent_sigma_asymmetry_abs
42,47,34,Solute_pos_area_frac
42,47,35,Cross_nonpolar_match
42,47,36,Solvent_hydrophobic_density
42,47,37,Cross_surface_imbalance_product
42,47,38,Solvent_sig3
42,47,39,Solute_NumHDonors
42,47,40,Class_ester_x_solute_HBD
42,47,41,Solute_neg_area_frac
42,47,42,Cross_acc_to_don_surface
42,47,43,Class_ester_x_solute_TPSA_density
42,47,44,Solvent_sig2
42,47,45,Cross_sigma3_abs_gap
42,47,46,Solvent_self_hbond_proxy
42,47,47,Solvent_LabuteASA
42,60,1,Solute_BertzCT
42,60,2,Temperature_K
42,60,3,Solute_TPSA
42,60,4,Solute_HB_capacity
42,60,5,Solute_MolLogP
42,60,6,Solute_MolWt
42,60,7,Solute_BalabanJ
42,60,8,Solvent_pos_area_frac
42,60,9,Solvent_MaxPartialCharge
42,60,10,Solute_polar_surface_density
42,60,11,Solute_MaxPartialCharge
42,60,12,Solute_NumAromaticRings
42,60,13,Cross_sigma2_abs_gap
42,60,14,Solute_M_hb_don
42,60,15,Solute_NumRotatableBonds
42,60,16,Solute_RingCount
42,60,17,Solute_sig3
42,60,18,Solute_MinAbsPartialCharge
42,60,19,Solute_M_nonpolar
42,60,20,Solute_sig2
42,60,21,Solute_LabuteASA
42,60,22,Solute_MaxAbsPartialCharge
42,60,23,Cross_TPSA_density_abs_gap
42,60,24,Cross_logP_abs_gap
42,60,25,Solvent_BalabanJ
42,60,26,Solvent_neg_area_frac
42,60,27,Cross_HB_directional_balance
42,60,28,Solvent_MolLogP
42,60,29,Solute_M_hb_acc
42,60,30,Solute_MinPartialCharge
42,60,31,Cross_hb_don_moment_product
42,60,32,Solute_HeavyAtomCount
42,60,33,Solvent_sigma_asymmetry_abs
42,60,34,Solute_pos_area_frac
42,60,35,Cross_nonpolar_match
42,60,36,Solvent_hydrophobic_density
42,60,37,Cross_surface_imbalance_product
42,60,38,Solvent_sig3
42,60,39,Solute_NumHDonors
42,60,40,Class_ester_x_solute_HBD
42,60,41,Solute_neg_area_frac
42,60,42,Cross_acc_to_don_surface
42,60,43,Class_ester_x_solute_TPSA_density
42,60,44,Solvent_sig2
42,60,45,Cross_sigma3_abs_gap
42,60,46,Solvent_self_hbond_proxy
42,60,47,Solvent_LabuteASA
42,60,48,Solute_NumHAcceptors
42,60,49,Cross_pos_area_abs_gap
42,60,50,Cross_HB_capacity_product
42,60,51,Solvent_MinAbsPartialCharge
42,60,52,Class_nonpolar_x_solute_sigma2
42,60,53,Solvent_MinPartialCharge
42,60,54,Solute_signed_surface_imbalance
42,60,55,Cross_HBA_solute_x_HBD_solvent
42,60,56,Class_nonpolar_x_nonpolar_match
42,60,57,Class_nonpolar_x_solute_TPSA_density
42,60,58,Cross_temperature_x_sigma2_gap
42,60,59,Cross_HBD_solute_x_HBA_solvent
42,60,60,Solvent_signed_surface_imbalance
43,33,1,Solute_BertzCT
43,33,2,Temperature_K
43,33,3,Solute_TPSA
43,33,4,Solute_HB_capacity
43,33,5,Solute_MolLogP
43,33,6,Solute_MolWt
43,33,7,Solvent_MaxPartialCharge
43,33,8,Solute_BalabanJ
43,33,9,Solvent_pos_area_frac
43,33,10,Solute_MaxPartialCharge
43,33,11,Solute_NumAromaticRings
43,33,12,Solute_M_hb_don
43,33,13,Solute_sig3
43,33,14,Solute_polar_surface_density
43,33,15,Cross_sigma2_abs_gap
43,33,16,Solute_M_nonpolar
43,33,17,Solute_NumRotatableBonds
43,33,18,Solute_MinAbsPartialCharge
43,33,19,Solute_RingCount
43,33,20,Solute_sig2
43,33,21,Solute_MaxAbsPartialCharge
43,33,22,Solute_LabuteASA
43,33,23,Cross_logP_abs_gap
43,33,24,Solvent_neg_area_frac
43,33,25,Solute_HeavyAtomCount
43,33,26,Cross_TPSA_density_abs_gap
43,33,27,Solvent_sigma_asymmetry_abs
43,33,28,Cross_hb_don_moment_product
43,33,29,Solvent_BalabanJ
43,33,30,Cross_HB_directional_balance
43,33,31,Solvent_MolLogP
43,33,32,Solute_M_hb_acc
43,33,33,Solute_pos_area_frac
43,47,1,Solute_BertzCT
43,47,2,Temperature_K
43,47,3,Solute_TPSA
43,47,4,Solute_HB_capacity
43,47,5,Solute_MolLogP
43,47,6,Solute_MolWt
43,47,7,Solvent_MaxPartialCharge
43,47,8,Solute_BalabanJ
43,47,9,Solvent_pos_area_frac
43,47,10,Solute_MaxPartialCharge
43,47,11,Solute_NumAromaticRings
43,47,12,Solute_M_hb_don
43,47,13,Solute_sig3
43,47,14,Solute_polar_surface_density
43,47,15,Cross_sigma2_abs_gap
43,47,16,Solute_M_nonpolar
43,47,17,Solute_NumRotatableBonds
43,47,18,Solute_MinAbsPartialCharge
43,47,19,Solute_RingCount
43,47,20,Solute_sig2
43,47,21,Solute_MaxAbsPartialCharge
43,47,22,Solute_LabuteASA
43,47,23,Cross_logP_abs_gap
43,47,24,Solvent_neg_area_frac
43,47,25,Solute_HeavyAtomCount
43,47,26,Cross_TPSA_density_abs_gap
43,47,27,Solvent_sigma_asymmetry_abs
43,47,28,Cross_hb_don_moment_product
43,47,29,Solvent_BalabanJ
43,47,30,Cross_HB_directional_balance
43,47,31,Solvent_MolLogP
43,47,32,Solute_M_hb_acc
43,47,33,Solute_pos_area_frac
43,47,34,Solute_MinPartialCharge
43,47,35,Cross_nonpolar_match
43,47,36,Cross_surface_imbalance_product
43,47,37,Solute_NumHDonors
43,47,38,Solvent_sig3
43,47,39,Solvent_hydrophobic_density
43,47,40,Class_ester_x_solute_TPSA_density
43,47,41,Solute_neg_area_frac
43,47,42,Cross_sigma3_abs_gap
43,47,43,Solvent_sig2
43,47,44,Class_ester_x_solute_HBD
43,47,45,Cross_acc_to_don_surface
