LogS,split
1.0072720332759113,training/common sample
-3.282153186598738,training/common sample
0.1922994125088202,training/common sample
-1.5554255543700786,training/common sample
-0.2020611125545618,training/common sample
-1.9404551349747785,training/common sample
0.0062576438739094,training/common sample
-2.1554121383980767,training/common sample
-0.2420826710271227,training/common sample
-0.4649216590248454,training/common sample
-1.3727451316225188,training/common sample
0.1465496954889255,training/common sample
-0.9586437921533956,training/common sample
-1.6607064150787154,training/common sample
-3.447163630066761,training/common sample
-0.0586759695586606,training/common sample
-0.1490899712004496,training/common sample
-1.083849342214548,training/common sample
-1.6833215053599704,training/common sample
-0.1770729253472614,training/common sample
-0.6648989092026085,training/common sample
-1.6468436034344816,training/common sample
-1.733835838918436,training/common sample
-0.7332099412725019,training/common sample
-0.1104101195986661,training/common sample
-0.2971023741254126,training/common sample
-1.3263097897523803,training/common sample
-0.5921476328135414,training/common sample
-0.7187158699314092,training/common sample
-2.8550547305996057,training/common sample
0.2317539851169658,training/common sample
-1.6217402474170457,training/common sample
0.46501793082718,training/common sample
-4.043474912102071,training/common sample
-0.3810499693578317,training/common sample
-1.042609397168864,training/common sample
-0.0935972237209432,training/common sample
0.3971858184686681,training/common sample
0.5588742729885892,training/common sample
-0.1446708228522945,training/common sample
-1.3025564651631585,training/common sample
-1.977539045093152,training/common sample
-1.173912523158893,training/common sample
-1.115762066507313,training/common sample
-0.98217513178619,training/common sample
-2.546725577901649,training/common sample
-0.9746197865671412,training/common sample
-0.8087244008104415,training/common sample
0.394900878776369,training/common sample
-0.9677303473276616,training/common sample
-0.2080264070704406,training/common sample
0.1641517608804542,training/common sample
-1.1704888146658912,training/common sample
-0.9393648291209568,training/common sample
-1.0550537948407308,training/common sample
0.2675827654976895,training/common sample
-1.7968472810458735,training/common sample
-1.048229661270008,training/common sample
0.2545425480962288,training/common sample
0.5954127060759572,training/common sample
-0.1196643753249652,training/common sample
-1.542998481803099,training/common sample
-0.3893266607013606,training/common sample
0.0929798713373423,training/common sample
-1.6071459088854112,training/common sample
-0.7170283891296165,training/common sample
-1.8743741563689669,training/common sample
-0.2429301604479337,training/common sample
0.0646221481549044,training/common sample
0.3167513245975262,training/common sample
-0.7890813267115604,training/common sample
-0.330762234539483,training/common sample
-3.032195428677575,training/common sample
-0.3222018752794206,training/common sample
0.7086627627869923,training/common sample
-0.0510447471129872,training/common sample
-1.7544912800622854,training/common sample
