Common_RowID,SMILES_Solvent,y_true,learner,feature_layer,seed,Solvent
330,C1CCCCC1,-2.8981808939367553,XGBoost,CAT-Solv-47,42,Cyclohexane
331,C1CCCCC1,-2.763897031304257,XGBoost,CAT-Solv-47,42,Cyclohexane
332,C1CCCCC1,-2.5667621398841893,XGBoost,CAT-Solv-47,42,Cyclohexane
333,C1CCCCC1,-2.4078183756977265,XGBoost,CAT-Solv-47,42,Cyclohexane
334,C1CCCCC1,-2.303224613793591,XGBoost,CAT-Solv-47,42,Cyclohexane
335,C1CCCCC1,-2.193877090124794,XGBoost,CAT-Solv-47,42,Cyclohexane
336,C1CCCCC1,-2.1356484144786356,XGBoost,CAT-Solv-47,42,Cyclohexane
337,C1CCCCC1,-2.04248364849467,XGBoost,CAT-Solv-47,42,Cyclohexane
338,C1CCCCC1,-1.9560826584682585,XGBoost,CAT-Solv-47,42,Cyclohexane
657,CN1CCCC1=O,-4.491357110318077,XGBoost,CAT-Solv-47,42,NMP
658,CN1CCCC1=O,-4.098616327687801,XGBoost,CAT-Solv-47,42,NMP
659,CN1CCCC1=O,-3.869812147489723,XGBoost,CAT-Solv-47,42,NMP
660,CN1CCCC1=O,-3.6233155884396377,XGBoost,CAT-Solv-47,42,NMP
661,CN1CCCC1=O,-3.4164327079751144,XGBoost,CAT-Solv-47,42,NMP
958,CCCOC(C)=O,-0.9465241873569872,XGBoost,CAT-Solv-47,42,n-Pr acetate
959,CCCOC(C)=O,-0.8922901354882344,XGBoost,CAT-Solv-47,42,n-Pr acetate
960,CCCOC(C)=O,-0.8545058416531066,XGBoost,CAT-Solv-47,42,n-Pr acetate
961,CCCOC(C)=O,-0.8093741463529338,XGBoost,CAT-Solv-47,42,n-Pr acetate
962,CCCOC(C)=O,-0.7665851277394433,XGBoost,CAT-Solv-47,42,n-Pr acetate
963,CCCOC(C)=O,-0.7242641060138514,XGBoost,CAT-Solv-47,42,n-Pr acetate
964,CCCOC(C)=O,-0.6794120477097328,XGBoost,CAT-Solv-47,42,n-Pr acetate
965,CCCOC(C)=O,-0.6335341333219154,XGBoost,CAT-Solv-47,42,n-Pr acetate
966,CCCOC(C)=O,-0.585870036804785,XGBoost,CAT-Solv-47,42,n-Pr acetate
967,CCCOC(C)=O,-0.5433888060625882,XGBoost,CAT-Solv-47,42,n-Pr acetate
988,CN1CCCC1=O,0.4702359681805794,XGBoost,CAT-Solv-47,42,NMP
989,CN1CCCC1=O,0.4784826460560164,XGBoost,CAT-Solv-47,42,NMP
990,CN1CCCC1=O,0.4957093025174495,XGBoost,CAT-Solv-47,42,NMP
991,CN1CCCC1=O,0.5143285857073514,XGBoost,CAT-Solv-47,42,NMP
992,CN1CCCC1=O,0.5288433528677553,XGBoost,CAT-Solv-47,42,NMP
993,CN1CCCC1=O,0.5403879681960287,XGBoost,CAT-Solv-47,42,NMP
994,CN1CCCC1=O,0.5500014117447193,XGBoost,CAT-Solv-47,42,NMP
995,CN1CCCC1=O,0.5667410749307179,XGBoost,CAT-Solv-47,42,NMP
996,CN1CCCC1=O,0.582564903950069,XGBoost,CAT-Solv-47,42,NMP
997,CN1CCCC1=O,0.5983867455472762,XGBoost,CAT-Solv-47,42,NMP
1017,C1CCCCC1,-1.0553589685689122,XGBoost,CAT-Solv-47,42,Cyclohexane
1018,C1CCCCC1,-0.9826711478646676,XGBoost,CAT-Solv-47,42,Cyclohexane
1019,C1CCCCC1,-0.9085339102422996,XGBoost,CAT-Solv-47,42,Cyclohexane
1020,C1CCCCC1,-0.8334708301268587,XGBoost,CAT-Solv-47,42,Cyclohexane
1021,C1CCCCC1,-0.7611075334206658,XGBoost,CAT-Solv-47,42,Cyclohexane
1022,C1CCCCC1,-0.692894569445799,XGBoost,CAT-Solv-47,42,Cyclohexane
1023,C1CCCCC1,-0.6266378943772193,XGBoost,CAT-Solv-47,42,Cyclohexane
1024,C1CCCCC1,-0.5611734894907403,XGBoost,CAT-Solv-47,42,Cyclohexane
1309,C1CCCCC1,-3.8031893603761406,XGBoost,CAT-Solv-47,42,Cyclohexane
1310,C1CCCCC1,-3.59976350391605,XGBoost,CAT-Solv-47,42,Cyclohexane
1311,C1CCCCC1,-3.234336693681223,XGBoost,CAT-Solv-47,42,Cyclohexane
1312,C1CCCCC1,-2.819825816823023,XGBoost,CAT-Solv-47,42,Cyclohexane
1411,CN1CCCC1=O,-1.2401919480455474,XGBoost,CAT-Solv-47,42,NMP
1412,CN1CCCC1=O,-1.2264460912609376,XGBoost,CAT-Solv-47,42,NMP
1413,CN1CCCC1=O,-1.212504210869023,XGBoost,CAT-Solv-47,42,NMP
1414,CN1CCCC1=O,-1.1962697307948091,XGBoost,CAT-Solv-47,42,NMP
1415,CN1CCCC1=O,-1.1841899018971616,XGBoost,CAT-Solv-47,42,NMP
1416,CN1CCCC1=O,-1.1738863554502588,XGBoost,CAT-Solv-47,42,NMP
1417,CN1CCCC1=O,-1.1606753519627886,XGBoost,CAT-Solv-47,42,NMP
1418,CN1CCCC1=O,-1.1492290579194775,XGBoost,CAT-Solv-47,42,NMP
1698,CS(C)=O,-1.228859040071948,XGBoost,CAT-Solv-47,42,DMSO
1699,CS(C)=O,-1.1721590130269943,XGBoost,CAT-Solv-47,42,DMSO
1700,CS(C)=O,-1.118280384405097,XGBoost,CAT-Solv-47,42,DMSO
1701,CS(C)=O,-1.0678000439815525,XGBoost,CAT-Solv-47,42,DMSO
1702,CS(C)=O,-0.9909575478690316,XGBoost,CAT-Solv-47,42,DMSO
1703,OCCO,-2.6876811059927492,XGBoost,CAT-Solv-47,42,Ethylene glycol
1704,OCCO,-2.5352776086829465,XGBoost,CAT-Solv-47,42,Ethylene glycol
1705,OCCO,-2.374225004176719,XGBoost,CAT-Solv-47,42,Ethylene glycol
1706,OCCO,-2.242350667040206,XGBoost,CAT-Solv-47,42,Ethylene glycol
1707,OCCO,-2.028116929175731,XGBoost,CAT-Solv-47,42,Ethylene glycol
1808,CS(C)=O,0.2954805303398199,XGBoost,CAT-Solv-47,42,DMSO
1809,CS(C)=O,0.3581571077086902,XGBoost,CAT-Solv-47,42,DMSO
1810,CS(C)=O,0.4286261139166107,XGBoost,CAT-Solv-47,42,DMSO
1811,CS(C)=O,0.5010100708372596,XGBoost,CAT-Solv-47,42,DMSO
1812,CS(C)=O,0.5637343441943437,XGBoost,CAT-Solv-47,42,DMSO
1813,CS(C)=O,0.6266229375606448,XGBoost,CAT-Solv-47,42,DMSO
1814,CS(C)=O,0.6941490873832553,XGBoost,CAT-Solv-47,42,DMSO
1815,CS(C)=O,0.7548459181102427,XGBoost,CAT-Solv-47,42,DMSO
