Temperature_K,LogS
283.0,-1.2503646028445097
293.0,-1.1884831364561244
303.0,-1.1290323102894009
313.0,-1.075745879153929
323.0,-0.9929796215987458
283.0,-3.216284548592021
293.0,-3.087852834187802
303.0,-2.913314998067195
313.0,-2.803257734924632
323.0,-2.72398342592351
283.0,-2.8606098272984584
293.0,-2.7523074078362195
303.0,-2.594909590330414
313.0,-2.463267933296256
323.0,-2.350446193061668
283.0,-1.5828103662983095
293.0,-1.4657737806499689
303.0,-1.3126995414054827
313.0,-1.2197545266758791
323.0,-1.1504791929342308
288.15,-0.081693918558072
293.15,-0.0265839935096071
298.15,0.0356770780772688
303.15,0.0968852464261415
308.15,0.1569557867560194
313.15,0.2075302897801879
318.15,0.2707548915608054
323.15,0.3245136363558113
328.15,0.3872477832687337
288.15,-0.7566161724113228
293.15,-0.6688791535807865
298.15,-0.5783148528667251
303.15,-0.493235190299417
308.15,-0.4181461670072972
313.15,-0.3438001131588124
318.15,-0.2648333532465229
323.15,-0.1889495438555701
328.15,-0.1169537499478695
288.15,-0.8809300636476836
293.15,-0.7780510024614841
298.15,-0.6753594522681865
303.15,-0.5776777042918902
308.15,-0.4947387910081434
313.15,-0.4125614693717708
318.15,-0.3322504209140813
323.15,-0.2366976950733417
328.15,-0.1622382370190462
293.15,-3.725314849786194
298.15,-3.599412209847569
303.15,-3.4847807569714844
310.15,-3.3110190494742353
315.15,-3.21224539558872
283.15,0.7944425743110687
285.65,0.8174132360322396
288.15,0.8418816493201099
290.65,0.865524991098072
293.15,0.8883093246911141
295.65,0.9151357367705582
298.15,0.9413092568541368
300.65,0.9687282725387562
303.15,1.0010261664713973
305.65,1.0327289318095376
308.15,1.066453203145043
310.65,1.1057135335397998
313.15,1.1490685984736888
315.65,1.1908529668818248
318.15,1.2326992691125112
283.15,0.803877282250202
285.65,0.8423600949258939
288.15,0.8787990096363079
290.65,0.9205721838779494
293.15,0.9600624745493764
295.65,1.0069371695806622
298.15,1.0456418164117485
300.65,1.0864819735780884
303.15,1.1285191410248914
305.65,1.171289132345719
308.15,1.212898478663352
310.65,1.2534238807997495
313.15,1.298351184845453
315.65,1.3446404153823734
318.15,1.384508115766285
283.15,-0.5725246281535722
285.65,-0.5535101798956721
288.15,-0.5274688998956762
290.65,-0.5042528323121444
293.15,-0.4821766590037609
295.65,-0.4593794002381606
298.15,-0.4343650899330589
300.65,-0.4118810596936261
303.15,-0.389109134121593
305.65,-0.3670549821578681
308.15,-0.3464880011515128
310.65,-0.3264733971089928
313.15,-0.3034947145643707
315.65,-0.2819461661709346
318.15,-0.2611043005984267
278.15,-1.359656813572176
283.15,-1.229683639820371
288.15,-1.151827595093914
293.15,-1.0785829746752886
298.15,-1.0056120075721848
303.15,-0.9338297384576556
308.15,-0.8650791016213923
313.15,-0.7950387215263249
318.15,-0.7395982112411379
323.15,-0.6705952927286388
278.15,-0.9815428159064994
283.15,-0.9134428854170912
288.15,-0.8500740385546144
293.15,-0.7883742610693003
298.15,-0.7236398449329423
303.15,-0.6626662377669401
308.15,-0.602790907249359
313.15,-0.5474118510370107
318.15,-0.4839328078032754
323.15,-0.44633997706944
278.15,-2.9310885769861654
283.15,-2.879869700754542
288.15,-2.8344707007940317
293.15,-2.7939501345125857
298.15,-2.738939094111607
303.15,-2.690808295771546
308.15,-2.648127513946545
313.15,-2.5968914537468493
318.15,-2.575248312310477
323.15,-2.5219923355528344
278.15,-0.76101912820376
283.15,-0.7015926510346064
288.15,-0.6462809652332968
293.15,-0.594105023209676
298.15,-0.5522905764595915
303.15,-0.5086585432025706
308.15,-0.4596236533146571
313.15,-0.4168429267961678
318.15,-0.3784884721780374
323.15,-0.3376403155461183
278.15,-0.901265933592261
283.15,-0.8263512751152564
288.15,-0.7767838301029074
293.15,-0.7073569998577938
298.15,-0.6523411326728644
303.15,-0.5966557200716577
308.15,-0.5517004841108395
313.15,-0.4968958877331125
318.15,-0.4456512806672244
323.15,-0.4003482263559649
278.15,-0.7680514086784352
283.15,-0.7119645279245811
288.15,-0.6776218136998617
293.15,-0.6282675180596902
298.15,-0.5708315559709357
303.15,-0.5277652165568051
308.15,-0.4786219953982365
313.15,-0.4262218330515231
318.15,-0.3808497706292663
323.15,-0.3352290336981605
278.15,-0.8633962724495485
283.15,-0.776077532598948
288.15,-0.7332099412725019
293.15,-0.6643604621380194
298.15,-0.6195244171091432
303.15,-0.5666382278189188
308.15,-0.5185943878402465
313.15,-0.4701235274349931
318.15,-0.4211433403620167
323.15,-0.3810133642174258
278.15,-0.5340810774901014
283.15,-0.478794403856657
288.15,-0.4387787156497654
293.15,-0.3920636518686602
298.15,-0.346456345118163
303.15,-0.3082003117847943
308.15,-0.268061373825514
313.15,-0.2295567038282704
318.15,-0.1859840658536489
323.15,-0.1537333630104677
278.15,-0.8227007073472935
283.15,-0.7714810686625677
288.15,-0.7100418581670648
293.15,-0.6582215873165046
298.15,-0.6182065140003572
303.15,-0.5637363271440423
308.15,-0.5179291046220302
313.15,-0.4704998971375193
318.15,-0.4281644168072526
323.15,-0.3832058959587228
278.15,-1.8781327774291787
283.15,-1.6761451348102467
288.15,-1.4682061314888666
293.15,-1.2825254753493347
298.15,-1.104152284054913
303.15,-0.9350539503840046
308.15,-0.7861355652503219
313.15,-0.6423068564149659
278.05,-0.2757122000754533
278.15,-0.2856343544431067
281.25,-0.244072339538924
282.15,-0.2516831662182158
286.15,-0.2137901346630685
286.15,-0.2193085241680164
290.15,-0.1766609984401151
290.15,-0.1870683619746002
293.15,-0.1546707354222941
294.15,-0.1542279454499034
297.15,-0.1286303929159945
298.15,-0.1220167210200114
302.15,-0.0893700686480343
302.15,-0.0906429497408924
306.15,-0.0597961351840586
307.15,-0.0511667657624656
310.15,-0.0300404597661772
311.65,-0.0189001327427037
314.15,-0.0023156461121474
315.65,0.0101651419913267
318.15,0.0276287269553126
320.15,0.0393690912763476
322.15,0.0525054348675488
278.05,-1.5277721196024077
281.25,-1.4851962443998954
286.15,-1.390585081662577
290.15,-1.3223607118346248
293.15,-1.2780083563840043
297.15,-1.2286294513519225
302.15,-1.159308052377938
307.15,-1.077518036555387
311.65,-1.0135625634582126
315.65,-0.9568171256168532
320.15,-0.8965481420430585
281.25,-1.5276716174939964
286.15,-1.4619351292731697
290.15,-1.4128647081691268
