feature_layer,Solvent_Name,R2
2D-Elec,Cyclohexane,0.4973653672873942
2D-Elec,DMSO,0.35144420440104657
2D-Elec,Ethylene glycol,0.7258455047501101
2D-Elec,NMP,0.41603557968696886
2D-Elec,n-Propyl acetate,0.9283590998799633
2D-Min,Cyclohexane,0.25673010220431514
2D-Min,DMSO,0.44086631136975757
2D-Min,Ethylene glycol,0.5531214570859773
2D-Min,NMP,-0.35939288030957567
2D-Min,n-Propyl acetate,0.8943110101108521
CAT-Solv-47,Cyclohexane,0.6460971182063353
CAT-Solv-47,DMSO,0.6637826693202648
CAT-Solv-47,Ethylene glycol,0.7261371410446865
CAT-Solv-47,NMP,0.7267027018965814
CAT-Solv-47,n-Propyl acetate,0.9075828855694814
Sigma-Solv,Cyclohexane,0.5767054270586034
Sigma-Solv,DMSO,0.6103896150116238
Sigma-Solv,Ethylene glycol,0.7242397394351492
Sigma-Solv,NMP,0.6446169445564098
Sigma-Solv,n-Propyl acetate,0.9140579324738354
